1 Mot inconnu : Syrion [[7:13]] => ====== Syrion ====== <|> syrion
6 Mot inconnu : eeepc [[30:35]] =>   * Ubuntu 20.04.4 server sur eeepc 1215P <|> eeepc
7 Mot inconnu : Ryzen [[38:43]] =>   * Ubuntu 22.04.1 sur une tour : AMD Ryzen 5 5600X@3.7GHz, 32Go DDR4-3600, NVidia GT650Ti + Acer G24, Logitech G510, Corsair Scimitar Pro RGB <|> ryzen
7 Mot inconnu : DDR4-3600 [[65:74]] =>   * Ubuntu 22.04.1 sur une tour : AMD Ryzen 5 5600X@3.7GHz, 32Go DDR4-3600, NVidia GT650Ti + Acer G24, Logitech G510, Corsair Scimitar Pro RGB <|> ddr4-3600
7 Mot inconnu : GT650Ti [[83:90]] =>   * Ubuntu 22.04.1 sur une tour : AMD Ryzen 5 5600X@3.7GHz, 32Go DDR4-3600, NVidia GT650Ti + Acer G24, Logitech G510, Corsair Scimitar Pro RGB <|> gt650ti
7 Mot inconnu : G24 [[98:101]] =>   * Ubuntu 22.04.1 sur une tour : AMD Ryzen 5 5600X@3.7GHz, 32Go DDR4-3600, NVidia GT650Ti + Acer G24, Logitech G510, Corsair Scimitar Pro RGB <|> g24
7 Mot inconnu : G510 [[112:116]] =>   * Ubuntu 22.04.1 sur une tour : AMD Ryzen 5 5600X@3.7GHz, 32Go DDR4-3600, NVidia GT650Ti + Acer G24, Logitech G510, Corsair Scimitar Pro RGB <|> g510
7 Mot inconnu : Corsair [[118:125]] =>   * Ubuntu 22.04.1 sur une tour : AMD Ryzen 5 5600X@3.7GHz, 32Go DDR4-3600, NVidia GT650Ti + Acer G24, Logitech G510, Corsair Scimitar Pro RGB <|> corsair
7 Mot inconnu : Scimitar [[126:134]] =>   * Ubuntu 22.04.1 sur une tour : AMD Ryzen 5 5600X@3.7GHz, 32Go DDR4-3600, NVidia GT650Ti + Acer G24, Logitech G510, Corsair Scimitar Pro RGB <|> scimitar
7 Mot inconnu : RGB [[139:142]] =>   * Ubuntu 22.04.1 sur une tour : AMD Ryzen 5 5600X@3.7GHz, 32Go DDR4-3600, NVidia GT650Ti + Acer G24, Logitech G510, Corsair Scimitar Pro RGB <|> rgb
8 Mot inconnu : XPS [[28:31]] =>   * Ubuntu 20.04.4 sur Dell XPS 7590 <|> xps
11 Mot inconnu : G1 [[16:18]] =>   * Les touches G1 à G18 des claviers Logitech G11 (et probablement G15) ne fonctionnent pas sous Ubuntu 10.04. Il existe un patch pour corriger le problème. **Tout marche à nouveau à partir d'Ubuntu 10.10** <|> g1
11 Mot inconnu : G18 [[21:24]] =>   * Les touches G1 à G18 des claviers Logitech G11 (et probablement G15) ne fonctionnent pas sous Ubuntu 10.04. Il existe un patch pour corriger le problème. **Tout marche à nouveau à partir d'Ubuntu 10.10** <|> g18
11 Mot inconnu : G11 [[47:50]] =>   * Les touches G1 à G18 des claviers Logitech G11 (et probablement G15) ne fonctionnent pas sous Ubuntu 10.04. Il existe un patch pour corriger le problème. **Tout marche à nouveau à partir d'Ubuntu 10.10** <|> g11
11 Mot inconnu : G15 [[68:71]] =>   * Les touches G1 à G18 des claviers Logitech G11 (et probablement G15) ne fonctionnent pas sous Ubuntu 10.04. Il existe un patch pour corriger le problème. **Tout marche à nouveau à partir d'Ubuntu 10.10** <|> g15
12 Mot inconnu : WPA [[12:15]] =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901). <|> wpa
12 Mot inconnu : WPA2 [[16:20]] =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901). <|> wpa2
12 Mot inconnu : Ralink [[55:61]] =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901). <|> ralink
12 Mot inconnu : ra2860 [[62:68]] =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901). <|> ra2860
12 Mot inconnu : entr'autre [[144:154]] =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901). <|> entr'autre
12 Mot inconnu : Eeepc [[155:160]] =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901). <|> eeepc
12 Mot inconnu : ralink [[217:223]] =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901). <|> ralink
12 Mot inconnu : Atoms [[364:369]] =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901). <|> atoms
12 Mot inconnu : Eeeepc [[385:391]] =>   * Le mode WPA/WPA2 ne fonctionne plus sur les cartes Ralink ra2860 depuis Ubuntu 10.04 (résolution en cours, contournements possibles, touche entr'autre Eeepc 901). Seule solution actuelle : télécharger les drivers ralink et le recompiler/réinstaller à chaque mise à jour de Linux, ou passer à Ubuntu 10.10 (ce qui n'est pas conseillé sur les petits processeurs Atoms comme celui du Eeeepc 901). <|> eeeepc
13 Mot inconnu : Rythmbox [[69:77]] =>   * Ubuntu 10.04 apportait la compatibilité avec les iPod/iPhone via Rythmbox. Ubuntu 10.10 la perd en tentant de reconnaître l'iPhone comme un modem. **Tout rentre dans l'ordre avec Ubuntu 11.04, qui ajoute la possibilité d'accéder aux fichiers des applications qui permettent le stoickage.** <|> rythmbox
13 Mot inconnu : stoickage [[281:290]] =>   * Ubuntu 10.04 apportait la compatibilité avec les iPod/iPhone via Rythmbox. Ubuntu 10.10 la perd en tentant de reconnaître l'iPhone comme un modem. **Tout rentre dans l'ordre avec Ubuntu 11.04, qui ajoute la possibilité d'accéder aux fichiers des applications qui permettent le stoickage.** <|> stoickage
17 Mot inconnu : Eee [[18:21]] =>   * Ubuntu sur un Eee PC 901 <|> eee
