
6 Mot inconnu : LMFAB => ====== LMFAB ======  | lmfab
6 Espace(s) en fin de ligne à supprimer. => ====== LMFAB ======  |   => suggestions : ['']

8 Mot inconnu : Lmfab => Lmfab est un logiciel éducatif pour les enfants. | lmfab

9 Guillemets typographiques ouvrants. => Cette application a pour objectif d’attirer les enfants à manipuler des boucles de 'for' en langage C++ de façon ludique (créée un piano virtuel possédant ses propres sonorités). | ' => suggestions : ['“', '‘', '‹']
9 Guillemets typographiques fermants. => Cette application a pour objectif d’attirer les enfants à manipuler des boucles de 'for' en langage C++ de façon ludique (créée un piano virtuel possédant ses propres sonorités). | ' => suggestions : ['”', '’', '›']

11 Mot inconnu : FIXME => FIXME capture d'écran du logiciel ? | fixme

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir lu [[http://www.letime.net/vocale/U_E_D.html]] |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - télécharger [[http://www.letime.net/vocale/lmfab1.tar.gz]] |    => suggestions : ['']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - télécharger [[http://www.letime.net/vocale/lmfab1.tar.gz]] |  -  => suggestions : [' – ', ' — ', ' − ']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - décompresser l'archive dans le dossier utilisateur |    => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - décompresser l'archive dans le dossier utilisateur |  -  => suggestions : [' – ', ' — ', ' − ']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - ouvrir un [[terminal]] et compiler via la commande |    => suggestions : ['']
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - ouvrir un [[terminal]] et compiler via la commande |  -  => suggestions : [' – ', ' — ', ' − ']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrir le fichier ADNforme.cpp pour modifier les boucles qui dirigent les états d'équilibres créant les sons. |    => suggestions : ['']
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrir le fichier ADNforme.cpp pour modifier les boucles qui dirigent les états d'équilibres créant les sons. |  -  => suggestions : [' – ', ' — ', ' − ']
30 Mot inconnu : ADNforme =>   - Ouvrir le fichier ADNforme.cpp pour modifier les boucles qui dirigent les états d'équilibres créant les sons. | adnforme
30 Mot inconnu : cpp =>   - Ouvrir le fichier ADNforme.cpp pour modifier les boucles qui dirigent les états d'équilibres créant les sons. | cpp

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrir le fichier fronts.cpp pour modifier les valeurs des états d'équilibres. |    => suggestions : ['']
31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrir le fichier fronts.cpp pour modifier les valeurs des états d'équilibres. |  -  => suggestions : [' – ', ' — ', ' − ']
31 Mot inconnu : cpp =>   - Ouvrir le fichier fronts.cpp pour modifier les valeurs des états d'équilibres. | cpp

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

41 Mot inconnu : FIXME => FIXME | fixme

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://commons.wikimedia.org/wiki/File:Lmfab104.ogg]] Exemple de variation avec écoute sur wikimedia |    => suggestions : ['']
46 Mot inconnu : Lmfab104 =>   * **(fr)** [[http://commons.wikimedia.org/wiki/File:Lmfab104.ogg]] Exemple de variation avec écoute sur wikimedia | lmfab104
46 Mot inconnu : wikimedia =>   * **(fr)** [[http://commons.wikimedia.org/wiki/File:Lmfab104.ogg]] Exemple de variation avec écoute sur wikimedia | wikimedia

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.letime.net/vocale/U_E_D.html]] |    => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.letime.net/vocale/Projet_BAUL.html]] |    => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?id=1644711|Discussion à propos de lmfab]] sur le forum Ubuntu-fr |    => suggestions : ['']
49 Mot inconnu : lmfab =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?id=1644711|Discussion à propos de lmfab]] sur le forum Ubuntu-fr | lmfab

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
