1 Mot inconnu : Teolemon [[7:15]] => ====== Teolemon ====== <|> teolemon

2 Il manque un espace. [[95:105]] => Je ne suis pas étudiant en informatique, ni sciences mécaniques, biologiques, bactériologiques,nucléaires ou nanoscopiques, ni quoique soit d'autre... J'ai pourtant fait S ;-) <|> nucléaires => suggestions : None
2 Mot inconnu : nanoscopiques [[109:122]] => Je ne suis pas étudiant en informatique, ni sciences mécaniques, biologiques, bactériologiques,nucléaires ou nanoscopiques, ni quoique soit d'autre... J'ai pourtant fait S ;-) <|> nanoscopiques
2 Typographie : points de suspension. Utilisez le caractère dédié. [[147:150]] => Je ne suis pas étudiant en informatique, ni sciences mécaniques, biologiques, bactériologiques,nucléaires ou nanoscopiques, ni quoique soit d'autre... J'ai pourtant fait S ;-) <|> ... => suggestions : None

9 Mot inconnu : slamich [[13:20]] => pierre point slamich at gmail point com <|> slamich
9 Mot inconnu : at [[21:23]] => pierre point slamich at gmail point com <|> at
23 Pas d’espace avant une virgule. Un espace après. [[4:6]] => Html ,un peu de css,capacité à se débrouiller sur de nouveaux trucs assez vite avec une documentation convenable. <|>  , => suggestions : None
23 Mot inconnu : css [[16:19]] => Html ,un peu de css,capacité à se débrouiller sur de nouveaux trucs assez vite avec une documentation convenable. <|> css
23 Il manque un espace. [[20:28]] => Html ,un peu de css,capacité à se débrouiller sur de nouveaux trucs assez vite avec une documentation convenable. <|> capacité => suggestions : None
33 Mot inconnu : alicebot [[47:55]] =>   * un IRC bot qui aiderait les débutants (cf. alicebot) <|> alicebot
35 Mot inconnu : roadmap [[8:15]] =>   * une roadmap motivante pour ubuntu-fr à laquelle tout le monde à son niveau pourrait participer <|> roadmap
36 Il manque un espace. [[14:16]] =>   * à nouveau,un grand jour de nettoyage du forum (deux au besoin) pour ne laisser aucun sujet non traité (au besoin créer une catégorie des problèmes insolubles et faire des recherches approfondies dessus) <|> un => suggestions : None
37 Mot inconnu : EasyUbuntu [[38:48]] =>   * des projets utiles à Ubuntu comme EasyUbuntu qui permettent de donner une image positive de la communauté française <|> easyubuntu
38 Accord de nombre erroné : « syntaxe » devrait être au pluriel. [[49:56]] =>   * un système pour ne pas avoir à convertir les syntaxe wiki lors des traductions <|> syntaxe => suggestions : None
39 Mot inconnu : cds [[50:53]] =>   * un système pour réduire les frais de port des cds <|> cds
40 Mot inconnu : cds [[39:42]] =>   * un système pour graver nos propres cds et permettre à l'argent d'aller plutôt au développement ou à l'envoi dans des pays où se payer un cd n'est réellement pas un acte anodin. <|> cds
40 Accord de genre erroné : « cd » est féminin. [[138:140]] =>   * un système pour graver nos propres cds et permettre à l'argent d'aller plutôt au développement ou à l'envoi dans des pays où se payer un cd n'est réellement pas un acte anodin. <|> un => suggestions : None
41 Il manque un espace. [[59:61]] =>   * des réunions d'utilisateurs lors de week-ends ou mieux,de vacances scolaires <|> de => suggestions : None
43 Mot inconnu : primax [[14:20]] =>   * rendre le primax colorado 1200p compatible avec Linux <|> primax
43 Mot inconnu : colorado [[21:29]] =>   * rendre le primax colorado 1200p compatible avec Linux <|> colorado
43 Accord de nombre erroné avec « 1200 p » : « compatible » devrait être au pluriel. [[36:46]] =>   * rendre le primax colorado 1200p compatible avec Linux <|> compatible => suggestions : None
44 Élision de l’article devant un mot commençant par une voyelle. [[11:14]] =>   * rendre le oxford easybook m3 digital pen compatible avec Linux <|> le  => suggestions : None
44 Mot inconnu : easybook [[21:29]] =>   * rendre le oxford easybook m3 digital pen compatible avec Linux <|> easybook
44 Mot inconnu : m3 [[30:32]] =>   * rendre le oxford easybook m3 digital pen compatible avec Linux <|> m3
44 Mot inconnu : pen [[41:44]] =>   * rendre le oxford easybook m3 digital pen compatible avec Linux <|> pen
