3 Mot inconnu : benoitboulinguiez [[4:21]] =>   * benoitboulinguiez AT gmail.com <|> benoitboulinguiez
3 Mot inconnu : gmail [[25:30]] =>   * benoitboulinguiez AT gmail.com <|> gmail

7 Mot inconnu : Breezy [[48:54]] => Je suis arrivé sous Ubuntu en janvier 2006 sous Breezy. Après quelques semaines de galères pour configurer quelque chose de potable sur le portable, j'ai pu commencer à aider et à moins être aidé :-) <|> breezy
12 Mot inconnu : Windowmaker [[12:23]] =>   *Wiki sur Windowmaker (qq ajouts) <|> windowmaker
12 Mot inconnu : qq [[25:27]] =>   *Wiki sur Windowmaker (qq ajouts) <|> qq
13 Accord de genre erroné : « Trust » est masculin. [[12:14]] =>   *Wiki sur la Trust 320 Spacecam <|> la => suggestions : ['le']
13 Mot inconnu : Spacecam [[25:33]] =>   *Wiki sur la Trust 320 Spacecam <|> spacecam
14 Mot inconnu : PSP [[15:18]] =>   *Wiki sur la PSP <|> psp

18 Espace(s) en fin de ligne à supprimer. [[18:20]] => ===== Projet =====   <|>    => suggestions : ['']
