1 Il manque un trait d’union si “même” se rapporte à “moi”. [[7:15]] => Note à moi même <|> moi même => suggestions : ['moi-même']

6 Mot inconnu : Scribus [[0:7]] => Scribus NG : ~/.local/share/scribus-ng/palettes \\ <|> scribus
6 Mot inconnu : share [[22:27]] => Scribus NG : ~/.local/share/scribus-ng/palettes \\ <|> share
6 Mot inconnu : scribus-ng [[28:38]] => Scribus NG : ~/.local/share/scribus-ng/palettes \\ <|> scribus-ng

7 Mot inconnu : Scribus [[0:7]] => Scribus ~/.scribus/swatches \\ <|> scribus
7 Mot inconnu : scribus [[11:18]] => Scribus ~/.scribus/swatches \\ <|> scribus
7 Mot inconnu : swatches [[19:27]] => Scribus ~/.scribus/swatches \\ <|> swatches

8 Mot inconnu : gimp-2 [[8:14]] => Gimp ~/.gimp-2.8/palettes \\ <|> gimp-2

9 Mot inconnu : inkscape [[19:27]] => Inkscape ~/.config/inkscape/palettes \\ <|> inkscape

10 Mot inconnu : libreoffice [[0:11]] => libreoffice ~/.config/libreoffice/4/user/config .soc et .sog pour les degrades \\ <|> libreoffice
10 Mot inconnu : reoffice [[25:33]] => libreoffice ~/.config/libreoffice/4/user/config .soc et .sog pour les degrades \\ <|> reoffice
10 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[47:49]] => libreoffice ~/.config/libreoffice/4/user/config .soc et .sog pour les degrades \\ <|>  . => suggestions : ['. ', '.']
10 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[55:57]] => libreoffice ~/.config/libreoffice/4/user/config .soc et .sog pour les degrades \\ <|>  . => suggestions : ['. ', '.']
10 Mot inconnu : sog [[57:60]] => libreoffice ~/.config/libreoffice/4/user/config .soc et .sog pour les degrades \\ <|> sog
10 Mot inconnu : degrades [[70:78]] => libreoffice ~/.config/libreoffice/4/user/config .soc et .sog pour les degrades \\ <|> degrades

11 Mot inconnu : Mypaint [[0:7]] => Mypaint ~/.config/mypaint/palettes \\ <|> mypaint
11 Mot inconnu : mypaint [[18:25]] => Mypaint ~/.config/mypaint/palettes \\ <|> mypaint

13 Mot inconnu : Krita [[0:5]] => Krita importe les palettes gimp mais c'est pas suffisant pas gagné avant la 3.3 \\ <|> krita
13 Mot inconnu : gimp [[27:31]] => Krita importe les palettes gimp mais c'est pas suffisant pas gagné avant la 3.3 \\ <|> gimp
