
3 Mot inconnu : urss => ===== urss ===== | urss
5 Mot inconnu : Tutux => Utilisateur d'Ubuntu depuis la Saint-Valentin 2006, cette distribution n'aura permis de me pacser (pour la vie ?) avec Tutux. Valentin étant le seul saint que je fête sur mon calendrier en plus de Glinglin :-P | tutux
5 Mot inconnu : Glinglin => Utilisateur d'Ubuntu depuis la Saint-Valentin 2006, cette distribution n'aura permis de me pacser (pour la vie ?) avec Tutux. Valentin étant le seul saint que je fête sur mon calendrier en plus de Glinglin :-P | glinglin

13 Mot inconnu : boot => //**Note :**// pour avoir ma licence bien en règle, je garde pour l'instant le double boot avec xp  mais je suppose que plus jamais bilou m'y reprendra. D'ailleurs je vais systématiquement refuser les ventes forcées de Microsoft lorsque je changerais de matériel et je vous engage à en faire de même. | boot
13 Mot inconnu : xp => //**Note :**// pour avoir ma licence bien en règle, je garde pour l'instant le double boot avec xp  mais je suppose que plus jamais bilou m'y reprendra. D'ailleurs je vais systématiquement refuser les ventes forcées de Microsoft lorsque je changerais de matériel et je vous engage à en faire de même. | xp
13 Espace(s) surnuméraire(s) à supprimer. => //**Note :**// pour avoir ma licence bien en règle, je garde pour l'instant le double boot avec xp  mais je suppose que plus jamais bilou m'y reprendra. D'ailleurs je vais systématiquement refuser les ventes forcées de Microsoft lorsque je changerais de matériel et je vous engage à en faire de même. |    => suggestions : [' ']
13 Mot inconnu : bilou => //**Note :**// pour avoir ma licence bien en règle, je garde pour l'instant le double boot avec xp  mais je suppose que plus jamais bilou m'y reprendra. D'ailleurs je vais systématiquement refuser les ventes forcées de Microsoft lorsque je changerais de matériel et je vous engage à en faire de même. | bilou

23 Mot inconnu : freenode => Sur freenode je suis enregistré avec le pseudo... oui bingo, celui d'//urss//. | freenode
23 Typographie : points de suspension. Utilisez le caractère dédié. => Sur freenode je suis enregistré avec le pseudo... oui bingo, celui d'//urss//. | ... => suggestions : ['…']
23 Mot inconnu : urss => Sur freenode je suis enregistré avec le pseudo... oui bingo, celui d'//urss//. | urss
