1 Mot inconnu : Wubi [[38:42]] => J'ai connu Ubuntu avec l'installateur Wubi et Hardy Heron. <|> wubi
1 Mot inconnu : Heron [[52:57]] => J'ai connu Ubuntu avec l'installateur Wubi et Hardy Heron. <|> heron

2 Mot inconnu : GParted [[43:50]] => Comme je ne savais pas encore me servir de GParted, j' installais parfois Ubuntu invité avec Virtualbox sur Vista hôte <|> gparted
2 Apostrophe incorrecte. [[52:55]] => Comme je ne savais pas encore me servir de GParted, j' installais parfois Ubuntu invité avec Virtualbox sur Vista hôte <|> j'  => suggestions : ['j’']
2 Guillemets typographiques fermants. [[53:54]] => Comme je ne savais pas encore me servir de GParted, j' installais parfois Ubuntu invité avec Virtualbox sur Vista hôte <|> ' => suggestions : ['”', '’', '›']

3 Pas d’espace avant une virgule. [[161:163]] => J'aime bien la philosophie de GNU et en particulier GNU/Linux. J'aime bien le combat de Stallman et son histoire de pilote d'imprimante qu'il a du lui-même coder , mais je préfère un logiciel propriétaire qui fonctionne bien qu'un libre qui ne fonctionne pas . Il y a encore tellement de choses à faire évoluer dans le monde du libre. C'est l'affaire de tous les internautes et en première ligne les utilisateurs de Linux et Ubuntu <|>  , => suggestions : [',']
3 Pas d’espace avant un point. [[258:260]] => J'aime bien la philosophie de GNU et en particulier GNU/Linux. J'aime bien le combat de Stallman et son histoire de pilote d'imprimante qu'il a du lui-même coder , mais je préfère un logiciel propriétaire qui fonctionne bien qu'un libre qui ne fonctionne pas . Il y a encore tellement de choses à faire évoluer dans le monde du libre. C'est l'affaire de tous les internautes et en première ligne les utilisateurs de Linux et Ubuntu <|>  . => suggestions : ['.']

4 Apostrophe incorrecte. [[49:52]] => J'avais un site tributaire d'un logiciel Windows l' éditeur de sites:Lauyan ToWeb  <|> l'  => suggestions : ['l’']
4 Guillemets typographiques fermants. [[50:51]] => J'avais un site tributaire d'un logiciel Windows l' éditeur de sites:Lauyan ToWeb  <|> ' => suggestions : ['”', '’', '›']
4 Il manque un espace. [[69:75]] => J'avais un site tributaire d'un logiciel Windows l' éditeur de sites:Lauyan ToWeb  <|> lauyan => suggestions : [' Lauyan']
4 Mot inconnu : Lauyan [[69:75]] => J'avais un site tributaire d'un logiciel Windows l' éditeur de sites:Lauyan ToWeb  <|> lauyan
4 Mot inconnu : ToWeb [[76:81]] => J'avais un site tributaire d'un logiciel Windows l' éditeur de sites:Lauyan ToWeb  <|> toweb
4 Espace(s) en fin de ligne à supprimer. [[81:82]] => J'avais un site tributaire d'un logiciel Windows l' éditeur de sites:Lauyan ToWeb  <|>   => suggestions : ['']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  http://www.wubijacq.com/ <|>   => suggestions : ['']
