1 Mot inconnu : xdbob [[7:12]] => ====== xdbob ====== <|> xdbob

11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[42:45]] => Ubuntu 10.10 (64 bits)/Windows 7 (64 bits) - i7 920 - 9 Go de RAM - GTX 280 <|>  -  => suggestions : [' – ', ' — ', ' − ']
11 Mot inconnu : i7 [[45:47]] => Ubuntu 10.10 (64 bits)/Windows 7 (64 bits) - i7 920 - 9 Go de RAM - GTX 280 <|> i7
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) [[51:54]] => Ubuntu 10.10 (64 bits)/Windows 7 (64 bits) - i7 920 - 9 Go de RAM - GTX 280 <|>  -  => suggestions : [' – ', ' — ', ' − ', ' −']
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[65:68]] => Ubuntu 10.10 (64 bits)/Windows 7 (64 bits) - i7 920 - 9 Go de RAM - GTX 280 <|>  -  => suggestions : [' – ', ' — ', ' − ']
11 Mot inconnu : GTX [[68:71]] => Ubuntu 10.10 (64 bits)/Windows 7 (64 bits) - i7 920 - 9 Go de RAM - GTX 280 <|> gtx

13 Mot inconnu : UNR [[0:3]] => UNR 10.10 - Asus - eee-pc 920 <|> unr
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[9:12]] => UNR 10.10 - Asus - eee-pc 920 <|>  -  => suggestions : [' – ', ' — ', ' − ']
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[16:19]] => UNR 10.10 - Asus - eee-pc 920 <|>  -  => suggestions : [' – ', ' — ', ' − ']
13 Mot inconnu : eee-pc [[19:25]] => UNR 10.10 - Asus - eee-pc 920 <|> eee-pc

15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[19:22]] => Windows 7 (64 bits) - Sony - VAIO VPCS13V9E <|>  -  => suggestions : [' – ', ' — ', ' − ']
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[26:29]] => Windows 7 (64 bits) - Sony - VAIO VPCS13V9E <|>  -  => suggestions : [' – ', ' — ', ' − ']
15 Mot inconnu : VAIO [[29:33]] => Windows 7 (64 bits) - Sony - VAIO VPCS13V9E <|> vaio
15 Mot inconnu : VPCS13V9E [[34:43]] => Windows 7 (64 bits) - Sony - VAIO VPCS13V9E <|> vpcs13v9e
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[23:26]] => Windows vista (32 bits) - DELL - XPS m1710 <|>  -  => suggestions : [' – ', ' — ', ' − ']
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[30:33]] => Windows vista (32 bits) - DELL - XPS m1710 <|>  -  => suggestions : [' – ', ' — ', ' − ']
17 Mot inconnu : XPS [[33:36]] => Windows vista (32 bits) - DELL - XPS m1710 <|> xps
17 Mot inconnu : m1710 [[37:42]] => Windows vista (32 bits) - DELL - XPS m1710 <|> m1710
