
3 Mot inconnu : Cacti => ====== Cacti : un serveur de supervision ====== | cacti

5 Mot inconnu : Cacti => **Cacti** est un logiciel de supervision basé sur RRDtool permettant de surveiller l’activité de son architecture informatique à partir de graphiques quotidiens, hebdomadaires, mensuels et annuels. Voici un exemple de graphique :  | cacti
5 Mot inconnu : RRDtool => **Cacti** est un logiciel de supervision basé sur RRDtool permettant de surveiller l’activité de son architecture informatique à partir de graphiques quotidiens, hebdomadaires, mensuels et annuels. Voici un exemple de graphique :  | rrdtool
5 Espace(s) en fin de ligne à supprimer. => **Cacti** est un logiciel de supervision basé sur RRDtool permettant de surveiller l’activité de son architecture informatique à partir de graphiques quotidiens, hebdomadaires, mensuels et annuels. Voici un exemple de graphique :  |   => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

17 Mot inconnu : Cacti => **Cacti** est disponible dans les dépôts à partir de Ubuntu Dapper 6.06 LTS. | cacti
17 Mot inconnu : Dapper => **Cacti** est disponible dans les dépôts à partir de Ubuntu Dapper 6.06 LTS. | dapper
17 Mot inconnu : LTS => **Cacti** est disponible dans les dépôts à partir de Ubuntu Dapper 6.06 LTS. | lts

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install cacti |    => suggestions : ['']
22 Mot inconnu : sudo =>   sudo apt-get install cacti | sudo
22 Mot inconnu : apt-get =>   sudo apt-get install cacti | apt-get
22 Mot inconnu : install =>   sudo apt-get install cacti | install
22 Mot inconnu : cacti =>   sudo apt-get install cacti | cacti

23 Mot inconnu : LAMP => <note tip>Lors de l'installation des composants LAMP, vous devrez indiquer un mot de passe pour MySQL server. | lamp
23 Mot inconnu : MySQL => <note tip>Lors de l'installation des composants LAMP, vous devrez indiquer un mot de passe pour MySQL server. | mysql
23 Mot inconnu : server => <note tip>Lors de l'installation des composants LAMP, vous devrez indiquer un mot de passe pour MySQL server. | server

25 Mot inconnu : Apache2 => Vous devrez également choisir le type de serveur Web, **Apache2** étant conseillé. | apache2

28 Mot inconnu : dbconfig-common => Pour finir l'installation, dbconfig-common vous demandera si il doit configurer la base cacti. | dbconfig-common
28 Il faut élider “si” et l’accoler au pronom. => Pour finir l'installation, dbconfig-common vous demandera si il doit configurer la base cacti. | si  => suggestions : ['s’']
28 Mot inconnu : cacti => Pour finir l'installation, dbconfig-common vous demandera si il doit configurer la base cacti. | cacti

30 Mot inconnu : MySQL => Répondez par l'affirmative et suivez les instructions en saisissant de nouveau le mot de passe pour MySQL. | mysql

38 Mot inconnu : Cacti => Récupérer la [[http://www.cacti.net/download_cacti.php|dernière version de Cacti]] | cacti

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo -s |    => suggestions : ['']
40 Mot inconnu : sudo =>   sudo -s | sudo
40 Il manque un espace à côté du tiret. =>   sudo -s |  - => suggestions : [' – ', ' — ']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mv cacti-version.tar.gz /var/www |    => suggestions : ['']
41 Mot inconnu : mv =>   mv cacti-version.tar.gz /var/www | mv
41 Mot inconnu : cacti-version =>   mv cacti-version.tar.gz /var/www | cacti-version
41 Mot inconnu : tar =>   mv cacti-version.tar.gz /var/www | tar
41 Mot inconnu : gz =>   mv cacti-version.tar.gz /var/www | gz

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /var/www |    => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tar xzf cacti-version.tar.gz |    => suggestions : ['']
43 Mot inconnu : tar =>   tar xzf cacti-version.tar.gz | tar
43 Mot inconnu : xzf =>   tar xzf cacti-version.tar.gz | xzf
43 Mot inconnu : cacti-version =>   tar xzf cacti-version.tar.gz | cacti-version
43 Mot inconnu : tar =>   tar xzf cacti-version.tar.gz | tar
43 Mot inconnu : gz =>   tar xzf cacti-version.tar.gz | gz

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mv cacti-version cacti |    => suggestions : ['']
44 Mot inconnu : mv =>   mv cacti-version cacti | mv
44 Mot inconnu : cacti-version =>   mv cacti-version cacti | cacti-version
44 Mot inconnu : cacti =>   mv cacti-version cacti | cacti

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   rm cacti-version.tar.gz |    => suggestions : ['']
45 Mot inconnu : rm =>   rm cacti-version.tar.gz | rm
45 Mot inconnu : cacti-version =>   rm cacti-version.tar.gz | cacti-version
45 Mot inconnu : tar =>   rm cacti-version.tar.gz | tar
45 Mot inconnu : gz =>   rm cacti-version.tar.gz | gz

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   exit |    => suggestions : ['']

49 Mot inconnu : Cacti => Créer la base de données Cacti : | cacti

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /var/www/cacti |    => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo -s |    => suggestions : ['']
52 Mot inconnu : sudo =>   sudo -s | sudo
52 Il manque un espace à côté du tiret. =>   sudo -s |  - => suggestions : [' – ', ' — ']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mysqladmin -u root -p create cacti |    => suggestions : ['']
53 Mot inconnu : mysqladmin =>   mysqladmin -u root -p create cacti | mysqladmin
53 Il manque un espace à côté du tiret. =>   mysqladmin -u root -p create cacti |  - => suggestions : [' – ', ' — ']
53 Mot inconnu : root =>   mysqladmin -u root -p create cacti | root
53 Il manque un espace à côté du tiret. =>   mysqladmin -u root -p create cacti |  - => suggestions : [' – ', ' — ']
53 Mot inconnu : create =>   mysqladmin -u root -p create cacti | create
53 Mot inconnu : cacti =>   mysqladmin -u root -p create cacti | cacti

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mysql -u root -p cacti < cacti.sql |    => suggestions : ['']
54 Mot inconnu : mysql =>   mysql -u root -p cacti < cacti.sql | mysql
54 Il manque un espace à côté du tiret. =>   mysql -u root -p cacti < cacti.sql |  - => suggestions : [' – ', ' — ']
54 Mot inconnu : root =>   mysql -u root -p cacti < cacti.sql | root
54 Il manque un espace à côté du tiret. =>   mysql -u root -p cacti < cacti.sql |  - => suggestions : [' – ', ' — ']
54 Mot inconnu : cacti =>   mysql -u root -p cacti < cacti.sql | cacti
54 Mot inconnu : cacti =>   mysql -u root -p cacti < cacti.sql | cacti
54 Mot inconnu : sql =>   mysql -u root -p cacti < cacti.sql | sql

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mysql -u root -p cacti |    => suggestions : ['']
55 Mot inconnu : mysql =>   mysql -u root -p cacti | mysql
55 Il manque un espace à côté du tiret. =>   mysql -u root -p cacti |  - => suggestions : [' – ', ' — ']
55 Mot inconnu : root =>   mysql -u root -p cacti | root
55 Il manque un espace à côté du tiret. =>   mysql -u root -p cacti |  - => suggestions : [' – ', ' — ']
55 Mot inconnu : cacti =>   mysql -u root -p cacti | cacti

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   exit |    => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo useradd cactiuser -d /var/www/cacti -s /bin/false |    => suggestions : ['']
72 Mot inconnu : sudo =>   sudo useradd cactiuser -d /var/www/cacti -s /bin/false | sudo
72 Mot inconnu : useradd =>   sudo useradd cactiuser -d /var/www/cacti -s /bin/false | useradd
72 Mot inconnu : cactiuser =>   sudo useradd cactiuser -d /var/www/cacti -s /bin/false | cactiuser
72 Il manque un espace à côté du tiret. =>   sudo useradd cactiuser -d /var/www/cacti -s /bin/false |  - => suggestions : [' – ', ' — ']
72 Il manque un espace à côté du tiret. =>   sudo useradd cactiuser -d /var/www/cacti -s /bin/false |  - => suggestions : [' – ', ' — ']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chown -R cactiuser /var/www/cacti/rra /var/www/cacti/log |    => suggestions : ['']
73 Mot inconnu : sudo =>   sudo chown -R cactiuser /var/www/cacti/rra /var/www/cacti/log | sudo
73 Mot inconnu : chown =>   sudo chown -R cactiuser /var/www/cacti/rra /var/www/cacti/log | chown
73 Il manque un espace à côté du tiret. =>   sudo chown -R cactiuser /var/www/cacti/rra /var/www/cacti/log |  - => suggestions : [' – ', ' — ']
73 Mot inconnu : cactiuser =>   sudo chown -R cactiuser /var/www/cacti/rra /var/www/cacti/log | cactiuser

78 Mot inconnu : cactiuser => */5 * * * * cactiuser php5 /var/www/cacti/poller.php > /dev/null 2>&1 | cactiuser
78 Mot inconnu : php5 => */5 * * * * cactiuser php5 /var/www/cacti/poller.php > /dev/null 2>&1 | php5

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ;extension=msql.so |    => suggestions : ['']
83 Il manque un espace. =>   ;extension=msql.so | extension => suggestions : [' extension']
83 Mot inconnu : msql =>   ;extension=msql.so | msql
83 Mot inconnu : so =>   ;extension=msql.so | so

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ;extension=msql.so |    => suggestions : ['']
87 Il manque un espace. =>   ;extension=msql.so | extension => suggestions : [' extension']
87 Mot inconnu : msql =>   ;extension=msql.so | msql
87 Mot inconnu : so =>   ;extension=msql.so | so

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ;extension=msql.so |    => suggestions : ['']
91 Il manque un espace. =>   ;extension=msql.so | extension => suggestions : [' extension']
91 Mot inconnu : msql =>   ;extension=msql.so | msql
91 Mot inconnu : so =>   ;extension=msql.so | so

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/apache2 restart |    => suggestions : ['']
95 Mot inconnu : sudo =>   sudo /etc/init.d/apache2 restart | sudo
95 Mot inconnu : restart =>   sudo /etc/init.d/apache2 restart | restart

98 Mot inconnu : Spine => ===== Spine ===== | spine

99 Mot inconnu : Cacti => Par défaut, Cacti interroge à intervalle régulier les équipements SNMP un par un. Un démon à donc été créer afin de permettre à Cacti d'avoir un semblant de multi-tâche. | cacti
99 Mot inconnu : SNMP => Par défaut, Cacti interroge à intervalle régulier les équipements SNMP un par un. Un démon à donc été créer afin de permettre à Cacti d'avoir un semblant de multi-tâche. | snmp
99 Incohérence avec “donc”. Confusion probable : “à” est une préposition. Écrivez “a” pour la conjugaison de “avoir”. => Par défaut, Cacti interroge à intervalle régulier les équipements SNMP un par un. Un démon à donc été créer afin de permettre à Cacti d'avoir un semblant de multi-tâche. | à => suggestions : ['a']
99 Mot inconnu : Cacti => Par défaut, Cacti interroge à intervalle régulier les équipements SNMP un par un. Un démon à donc été créer afin de permettre à Cacti d'avoir un semblant de multi-tâche. | cacti

101 Mot inconnu : Cactid => Cactid/Spine permet donc de lancer de nombreuses requêtes aux équipements en même temps, permettant un gain de temps non négligeable et un allègement de la charge serveur. | cactid
101 Mot inconnu : Spine => Cactid/Spine permet donc de lancer de nombreuses requêtes aux équipements en même temps, permettant un gain de temps non négligeable et un allègement de la charge serveur. | spine

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install cacti-cactid |    => suggestions : ['']
104 Mot inconnu : sudo =>   sudo apt-get install cacti-cactid | sudo
104 Mot inconnu : apt-get =>   sudo apt-get install cacti-cactid | apt-get
104 Mot inconnu : install =>   sudo apt-get install cacti-cactid | install
104 Mot inconnu : cacti-cactid =>   sudo apt-get install cacti-cactid | cacti-cactid

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install cacti-spine |    => suggestions : ['']
105 Mot inconnu : sudo =>   sudo apt-get install cacti-spine | sudo
105 Mot inconnu : apt-get =>   sudo apt-get install cacti-spine | apt-get
105 Mot inconnu : install =>   sudo apt-get install cacti-spine | install
105 Mot inconnu : cacti-spine =>   sudo apt-get install cacti-spine | cacti-spine

111 Mot inconnu : Cacti => Il reste plus qu'à finaliser et configurer Cacti avec votre navigateur web préféré. | cacti

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   User Name : admin |    => suggestions : ['']
113 Mot inconnu : Name =>   User Name : admin | name

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Password : admin |    => suggestions : ['']
114 Mot inconnu : Password =>   Password : admin | password

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.cacti.net|Site officiel Cacti]] **(En)** |    => suggestions : ['']
123 Mot inconnu : Cacti =>   * [[http://www.cacti.net|Site officiel Cacti]] **(En)** | cacti

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://forums.cacti.net/|Forums officiels]] **(En)** |    => suggestions : ['']
