
4 Mot inconnu : µTorrent => ====== µTorrent ====== | µtorrent

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

14 Mot inconnu : µTorrent => Pour installer µTorrent: | µtorrent

21 Mot inconnu : µTorrent => Il est nécessaire de lancer le serveur µTorrent avant d'y accéder, pour cela: | µtorrent

27 Mot inconnu : µTorrent => Vous pouvez créer un petit script pour vous permettre de lancer µTorrent en un clic.  | µtorrent
27 Espace(s) en fin de ligne à supprimer. => Vous pouvez créer un petit script pour vous permettre de lancer µTorrent en un clic.  |   => suggestions : ['']

30 Mot inconnu : utserver => utserver -settingspath /opt/utorrent-server-alpha-v3_3/ & x-www-browser http://localhost:8080/gui</file> | utserver
30 Il manque un espace à côté du tiret. => utserver -settingspath /opt/utorrent-server-alpha-v3_3/ & x-www-browser http://localhost:8080/gui</file> |  - => suggestions : [' – ', ' — ']
30 Mot inconnu : settingspath => utserver -settingspath /opt/utorrent-server-alpha-v3_3/ & x-www-browser http://localhost:8080/gui</file> | settingspath
30 Mot inconnu : x-www-browser => utserver -settingspath /opt/utorrent-server-alpha-v3_3/ & x-www-browser http://localhost:8080/gui</file> | x-www-browser
