4 Mot inconnu : apps [[17:21]] => ====== Les « web apps »  ====== <|> apps
4 Espace(s) surnuméraire(s) à supprimer. [[23:25]] => ====== Les « web apps »  ====== <|>    => suggestions : None
9 Mot inconnu : icone [[48:53]] =>   * s'intégrer à votre poste de travail via une icone propre et non à l’intérieur d'un navigateur <|> icone
10 Mot inconnu : HUD [[71:74]] =>   * de profiter des technologies d'Ubuntu, tels le tableau de bord, le HUD, le menu de messagerie et les listes rapides des lanceurs <|> hud

12 Mot inconnu : Ice [[11:14]] => ===== Avec Ice  ===== <|> ice
12 Espace(s) surnuméraire(s) à supprimer. [[14:16]] => ===== Avec Ice  ===== <|>    => suggestions : None

13 Mot inconnu : Ice [[0:3]] => Ice est un utilitaire permettant de créer des Web-App facilement. Il est issu de Peppermint OS. <|> ice
13 Mot inconnu : Web-App [[46:53]] => Ice est un utilitaire permettant de créer des Web-App facilement. Il est issu de Peppermint OS. <|> web-app

17 Mot inconnu : gdebi [[18:23]] => Installation avec gdebi ou gnome-logiciel. <|> gdebi

19 Mot inconnu : App [[15:18]] => ===== Avec Web App Manager  ===== <|> app
19 Espace(s) surnuméraire(s) à supprimer. [[26:28]] => ===== Avec Web App Manager  ===== <|>    => suggestions : None

22 Mot inconnu : Nativefier [[11:21]] => ===== Avec Nativefier  ===== <|> nativefier
22 Espace(s) surnuméraire(s) à supprimer. [[21:23]] => ===== Avec Nativefier  ===== <|>    => suggestions : None

26 Une de ces ponctuations est superflue. [[60:63]] => <note>il semble que la sauvegarde des données (mots de passe, ...) ne fonctionne pas à tous les coups</note> <|> , . => suggestions : None
26 Typographie : points de suspension. Utilisez le caractère dédié. [[62:65]] => <note>il semble que la sauvegarde des données (mots de passe, ...) ne fonctionne pas à tous les coups</note> <|> ... => suggestions : None
32 Mot inconnu : Last [[34:38]] =>   * lorsque vous êtes sur le site Last.fm et que vous écoutez une radio ou un extrait de chanson, le lecteur du site Web peut être contrôlé directement à partir du menu son ; <|> last
32 Il manque un espace. [[39:41]] =>   * lorsque vous êtes sur le site Last.fm et que vous écoutez une radio ou un extrait de chanson, le lecteur du site Web peut être contrôlé directement à partir du menu son ; <|> fm => suggestions : None
