
28 Mot inconnu : WICD => <note important>L'installation de WIFI-RADAR supprime WICD</note> | wicd

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - clic droit sur l'icone du menu -> Editer les menus |    => suggestions : ['']
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - clic droit sur l'icone du menu -> Editer les menus |  -  => suggestions : [' – ', ' — ', ' − ']
36 Mot inconnu : icone =>   - clic droit sur l'icone du menu -> Editer les menus | icone
36 Mot inconnu : Editer =>   - clic droit sur l'icone du menu -> Editer les menus | editer

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner l'entrée de wifi-radar et cliquez sur le bouton propriété |    => suggestions : ['']
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner l'entrée de wifi-radar et cliquez sur le bouton propriété |  -  => suggestions : [' – ', ' — ', ' − ']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - changer la commande par :  |    => suggestions : ['']
38 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - changer la commande par :  |  -  => suggestions : [' – ', ' — ', ' − ']
38 Espace(s) en fin de ligne à supprimer. =>   - changer la commande par :  |   => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Enregistrez tout et c'est réglé |    => suggestions : ['']
41 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Enregistrez tout et c'est réglé |  -  => suggestions : [' – ', ' — ', ' − ']
44 Il manque un espace. => //Contributeurs: [[utilisateurs:sylvainvh]], [[utilisateurs:Fabien26]], [[utilisateurs:Johndescs]], [[utilisateurs:Capof]], [[utilisateurs:Siphodias]],.// | sylvainvh => suggestions : [' sylvainvh']
44 Il manque un espace. => //Contributeurs: [[utilisateurs:sylvainvh]], [[utilisateurs:Fabien26]], [[utilisateurs:Johndescs]], [[utilisateurs:Capof]], [[utilisateurs:Siphodias]],.// | fabien26 => suggestions : [' Fabien26']
44 Il manque un espace. => //Contributeurs: [[utilisateurs:sylvainvh]], [[utilisateurs:Fabien26]], [[utilisateurs:Johndescs]], [[utilisateurs:Capof]], [[utilisateurs:Siphodias]],.// | johndescs => suggestions : [' Johndescs']
44 Il manque un espace. => //Contributeurs: [[utilisateurs:sylvainvh]], [[utilisateurs:Fabien26]], [[utilisateurs:Johndescs]], [[utilisateurs:Capof]], [[utilisateurs:Siphodias]],.// | capof => suggestions : [' Capof']
44 Il manque un espace. => //Contributeurs: [[utilisateurs:sylvainvh]], [[utilisateurs:Fabien26]], [[utilisateurs:Johndescs]], [[utilisateurs:Capof]], [[utilisateurs:Siphodias]],.// | siphodias => suggestions : [' Siphodias']
44 Une de ces ponctuations est superflue. => //Contributeurs: [[utilisateurs:sylvainvh]], [[utilisateurs:Fabien26]], [[utilisateurs:Johndescs]], [[utilisateurs:Capof]], [[utilisateurs:Siphodias]],.// | ,. => suggestions : [',', '.']
