
6 Mot inconnu : realtek => ======  realtek rtl8192ce====== | realtek
6 Mot inconnu : rtl8192ce => ======  realtek rtl8192ce====== | rtl8192ce

7 Accord de nombre erroné avec « les cartes » : « wifi » devrait être au pluriel. => Cette page détaille l'installation des drivers officiels pour les cartes wifi Realtek suivantes: | wifi => suggestions : ['wifis']
7 Mot inconnu : Realtek => Cette page détaille l'installation des drivers officiels pour les cartes wifi Realtek suivantes: | realtek

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev ff) : Stable et performante  |    => suggestions : ['']
9 Mot inconnu : RTL8188CE =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev ff) : Stable et performante  | rtl8188ce
9 Accord de nombre erroné avec « 802.11 b/g/n » : « WiFi » devrait être au pluriel. =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev ff) : Stable et performante  | wifi => suggestions : []
9 Mot inconnu : WiFi =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev ff) : Stable et performante  | wifi
9 Mot inconnu : rev =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev ff) : Stable et performante  | rev
9 Mot inconnu : ff =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev ff) : Stable et performante  | ff
9 Espace(s) en fin de ligne à supprimer. =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev ff) : Stable et performante  |   => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev 01) : Stable et assez performante  |    => suggestions : ['']
10 Mot inconnu : RTL8188CE =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev 01) : Stable et assez performante  | rtl8188ce
10 Accord de nombre erroné avec « 802.11 b/g/n » : « WiFi » devrait être au pluriel. =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev 01) : Stable et assez performante  | wifi => suggestions : []
10 Mot inconnu : WiFi =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev 01) : Stable et assez performante  | wifi
10 Mot inconnu : rev =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev 01) : Stable et assez performante  | rev
10 Espace(s) en fin de ligne à supprimer. =>   * RTL8188CE : 802.11b/g/n WiFi Adapter (rev 01) : Stable et assez performante  |   => suggestions : ['']

