
4 Mot inconnu : Winetricks [[7:17]] => ====== Winetricks ====== <|> winetricks

27 Accord de genre erroné : « bibliothèque » est féminin. [[89:91]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> un => suggestions : une
27 Mot inconnu : the [[129:132]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> the
27 Mot inconnu : default [[133:140]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> default
27 Mot inconnu : wineprefix [[141:151]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> wineprefix
27 Mot inconnu : Install [[162:169]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> install
27 Mot inconnu : component [[187:196]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> component
36 Mot inconnu : option-de-config-wine [[92:113]] => Où on remplacera « nom-de-la-bibliothèque » par le nom de la bibliothèque à installer, et « option-de-config-wine » par l'instruction de configuration. Un espace séparera chaque élément. <|> option-de-config-wine

49 Mot inconnu : fontfix [[19:26]] => //(Ici on a ajouté fontfix, puisque le commentaire qui accompagne cette bibliothèque indique son utilité avec dotnet20.)// <|> fontfix
49 Mot inconnu : dotnet20 [[110:118]] => //(Ici on a ajouté fontfix, puisque le commentaire qui accompagne cette bibliothèque indique son utilité avec dotnet20.)// <|> dotnet20

56 Mot inconnu : winetricks [[18:28]] => Les bibliothèques winetricks et instructions de configuration disponibles sont listées dans le tableau ci-dessous. <|> winetricks

60 Mot inconnu : winetricks [[94:104]] => Ce tableau liste les bibliothèques et instructions de configuration qui sont disponibles dans winetricks. À noter que le script winetricks est régulièrement mis à jour, il est donc possible que cette liste ne soit pas exhaustive. <|> winetricks
60 Mot inconnu : winetricks [[128:138]] => Ce tableau liste les bibliothèques et instructions de configuration qui sont disponibles dans winetricks. À noter que le script winetricks est régulièrement mis à jour, il est donc possible que cette liste ne soit pas exhaustive. <|> winetricks

63 Espace(s) surnuméraire(s) à supprimer. [[5:15]] => |7zip          |7-zip file archiver| <|>            => suggestions :  

64 Mot inconnu : adobeair [[1:9]] => |adobeair      |Adobe AIR runtime| <|> adobeair
64 Espace(s) surnuméraire(s) à supprimer. [[9:15]] => |adobeair      |Adobe AIR runtime| <|>        => suggestions :  
64 Mot inconnu : runtime [[26:33]] => |adobeair      |Adobe AIR runtime| <|> runtime

65 Mot inconnu : art2kmin [[1:9]] => |art2kmin      |MS Access 2000 runtime.  Licence requise| <|> art2kmin
65 Espace(s) surnuméraire(s) à supprimer. [[9:15]] => |art2kmin      |MS Access 2000 runtime.  Licence requise| <|>        => suggestions :  
65 Mot inconnu : Access [[19:25]] => |art2kmin      |MS Access 2000 runtime.  Licence requise| <|> access
65 Mot inconnu : runtime [[31:38]] => |art2kmin      |MS Access 2000 runtime.  Licence requise| <|> runtime
65 Espace(s) surnuméraire(s) à supprimer. [[39:41]] => |art2kmin      |MS Access 2000 runtime.  Licence requise| <|>    => suggestions :  

66 Mot inconnu : atmlib [[1:7]] => |atmlib        |Adobe Type Manager. Needed for Adobe CS4| <|> atmlib
66 Espace(s) surnuméraire(s) à supprimer. [[7:15]] => |atmlib        |Adobe Type Manager. Needed for Adobe CS4| <|>          => suggestions :  
66 Mot inconnu : Needed [[36:42]] => |atmlib        |Adobe Type Manager. Needed for Adobe CS4| <|> needed
66 Mot inconnu : CS4 [[53:56]] => |atmlib        |Adobe Type Manager. Needed for Adobe CS4| <|> cs4

67 Mot inconnu : cmake [[1:6]] => |cmake         |CMake, the cross-platform, open-source build system| <|> cmake
67 Espace(s) surnuméraire(s) à supprimer. [[6:15]] => |cmake         |CMake, the cross-platform, open-source build system| <|>           => suggestions :  
67 Mot inconnu : CMake [[16:21]] => |cmake         |CMake, the cross-platform, open-source build system| <|> cmake
67 Mot inconnu : the [[23:26]] => |cmake         |CMake, the cross-platform, open-source build system| <|> the
67 Mot inconnu : cross-platform [[27:41]] => |cmake         |CMake, the cross-platform, open-source build system| <|> cross-platform
67 Mot inconnu : system [[61:67]] => |cmake         |CMake, the cross-platform, open-source build system| <|> system

68 Mot inconnu : colorprofile [[1:13]] => |colorprofile  |Standard RGB color profile| <|> colorprofile
68 Espace(s) surnuméraire(s) à supprimer. [[13:15]] => |colorprofile  |Standard RGB color profile| <|>    => suggestions :  
68 Mot inconnu : RGB [[25:28]] => |colorprofile  |Standard RGB color profile| <|> rgb
68 Mot inconnu : color [[29:34]] => |colorprofile  |Standard RGB color profile| <|> color

69 Mot inconnu : comctl32 [[3:11]] => |**comctl32**      |MS common controls 5.80 **voir avertissement sous le tableau**| <|> comctl32
