
5 Mot inconnu : WinFF [[7:12]] => ====== WinFF - interface graphique pour ffmpeg====== <|> winff
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[12:15]] => ====== WinFF - interface graphique pour ffmpeg====== <|>  -  => suggestions : [' – ', ' — ', ' − ']
5 Mot inconnu : ffmpeg [[40:46]] => ====== WinFF - interface graphique pour ffmpeg====== <|> ffmpeg

17 Mot inconnu : Presets [[23:30]] => ==== Les Pré-réglages (Presets) ==== <|> presets

20 Mot inconnu : presets [[39:46]] => Puis on installe le nouveau fichier de presets grâce au menu "fichier" ---> "importer un pré-réglage".\\ <|> presets
20 Guillemets typographiques ouvrants. [[61:62]] => Puis on installe le nouveau fichier de presets grâce au menu "fichier" ---> "importer un pré-réglage".\\ <|> " => suggestions : ['«\xa0', '“']
20 Guillemets typographiques fermants. [[69:70]] => Puis on installe le nouveau fichier de presets grâce au menu "fichier" ---> "importer un pré-réglage".\\ <|> " => suggestions : ['\xa0»', '”']
20 Guillemets typographiques ouvrants. [[76:77]] => Puis on installe le nouveau fichier de presets grâce au menu "fichier" ---> "importer un pré-réglage".\\ <|> " => suggestions : ['«\xa0', '“']
20 Guillemets typographiques fermants. [[100:101]] => Puis on installe le nouveau fichier de presets grâce au menu "fichier" ---> "importer un pré-réglage".\\ <|> " => suggestions : ['\xa0»', '”']

28 Mot inconnu : Multithreading [[4:18]] => ====Multithreading==== <|> multithreading

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

43 Mot inconnu : MPEG4 [[4:9]] => === MPEG4 Audio === <|> mpeg4

47 Mot inconnu : Ac3 [[4:7]] => === Ac3 DVD - 192kbps Stereo === <|> ac3
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) [[11:14]] => === Ac3 DVD - 192kbps Stereo === <|>  -  => suggestions : [' – ', ' — ', ' − ', ' −']
47 Mot inconnu : kbps [[17:21]] => === Ac3 DVD - 192kbps Stereo === <|> kbps
