
5 Mot inconnu : x2vnc => ====== x2vnc ====== | x2vnc

6 Mot inconnu : x2vnc => x2vnc permet de contrôler plusieurs PC d'un réseau à l'aide du même clavier et de la même souris.  | x2vnc
6 Espace(s) en fin de ligne à supprimer. => x2vnc permet de contrôler plusieurs PC d'un réseau à l'aide du même clavier et de la même souris.  |   => suggestions : ['']

23 Mot inconnu : vnc => Pour plus d'informations concernant la configuration du serveur vnc, consultez cette section : [[vnc#configuration_du_serveur_vnc]] | vnc
23 Mot inconnu : vnc => Pour plus d'informations concernant la configuration du serveur vnc, consultez cette section : [[vnc#configuration_du_serveur_vnc]] | vnc
31 Espace(s) en fin de ligne à supprimer. => Saisir en console :  |   => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   x2vnc 1.1.1.1:0 -north |    => suggestions : ['']
33 Mot inconnu : x2vnc =>   x2vnc 1.1.1.1:0 -north | x2vnc
33 Il manque un espace à côté du tiret. =>   x2vnc 1.1.1.1:0 -north |  - => suggestions : [' – ', ' — ']
33 Mot inconnu : north =>   x2vnc 1.1.1.1:0 -north | north

35 Mot inconnu : firewalls => À partir de maintenant et si les firewalls ont bien été configurés, le fait de placer le curseur en haut de votre écran basculera le contrôle de la souris et du clavier vers le PC 1.1.1.1 . | firewalls

37 Guillemets typographiques ouvrants. => Il existe plusieurs directions "switchables" à paramétrer : | " => suggestions : ['«\xa0', '“']
37 Mot inconnu : switchables => Il existe plusieurs directions "switchables" à paramétrer : | switchables
37 Guillemets typographiques fermants. => Il existe plusieurs directions "switchables" à paramétrer : | " => suggestions : ['\xa0»', '”']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''north'' : coin supérieur de l'écran ; |    => suggestions : ['']
38 Guillemets typographiques ouvrants. =>   * ''north'' : coin supérieur de l'écran ; | '' => suggestions : ['«\xa0', '“']
38 Mot inconnu : north =>   * ''north'' : coin supérieur de l'écran ; | north
38 Guillemets typographiques fermants. =>   * ''north'' : coin supérieur de l'écran ; | '' => suggestions : ['\xa0»', '”']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''south'' : coin inférieur de l'écran ; |    => suggestions : ['']
39 Guillemets typographiques ouvrants. =>   * ''south'' : coin inférieur de l'écran ; | '' => suggestions : ['«\xa0', '“']
39 Mot inconnu : south =>   * ''south'' : coin inférieur de l'écran ; | south
39 Guillemets typographiques fermants. =>   * ''south'' : coin inférieur de l'écran ; | '' => suggestions : ['\xa0»', '”']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''east'' : coin droit de l'écran ; |    => suggestions : ['']
40 Guillemets typographiques ouvrants. =>   * ''east'' : coin droit de l'écran ; | '' => suggestions : ['«\xa0', '“']
40 Mot inconnu : east =>   * ''east'' : coin droit de l'écran ; | east
40 Guillemets typographiques fermants. =>   * ''east'' : coin droit de l'écran ; | '' => suggestions : ['\xa0»', '”']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''west'' : coin gauche de l'écran ; |    => suggestions : ['']
41 Guillemets typographiques ouvrants. =>   * ''west'' : coin gauche de l'écran ; | '' => suggestions : ['«\xa0', '“']
41 Mot inconnu : west =>   * ''west'' : coin gauche de l'écran ; | west
41 Guillemets typographiques fermants. =>   * ''west'' : coin gauche de l'écran ; | '' => suggestions : ['\xa0»', '”']

43 Guillemets typographiques ouvrants. => Remplacez donc ''north'' par l'un de ces paramètres pour avoir l'effet désiré. | '' => suggestions : ['«\xa0', '“']
43 Mot inconnu : north => Remplacez donc ''north'' par l'un de ces paramètres pour avoir l'effet désiré. | north
43 Guillemets typographiques fermants. => Remplacez donc ''north'' par l'un de ces paramètres pour avoir l'effet désiré. | '' => suggestions : ['\xa0»', '”']
