
5 Mot inconnu : XBindKeys => ====== XBindKeys ====== | xbindkeys

10 Mot inconnu : XBindKeys => XBindKeys est particulièrement utile pour configurer certaines touches multimédia mal reconnues, une télécommande mal supportée, les boutons d'un modèle de souris exotique... ou pour toute personnalisation poussée. | xbindkeys
10 Typographie : points de suspension. Utilisez le caractère dédié. => XBindKeys est particulièrement utile pour configurer certaines touches multimédia mal reconnues, une télécommande mal supportée, les boutons d'un modèle de souris exotique... ou pour toute personnalisation poussée. | ... => suggestions : ['…']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

25 Mot inconnu : Xbindkeys-config => **Xbindkeys-config** est une interface graphique pour XBindKeys. Pour ajouter une nouvelle règle, il vous suffit d'y créer un nouveau raccourci, de cliquer sur la touche correspondante, de définir la commande et d'enregistrer cette nouvelle règle. | xbindkeys-config
25 Mot inconnu : XBindKeys => **Xbindkeys-config** est une interface graphique pour XBindKeys. Pour ajouter une nouvelle règle, il vous suffit d'y créer un nouveau raccourci, de cliquer sur la touche correspondante, de définir la commande et d'enregistrer cette nouvelle règle. | xbindkeys

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "brasero" |    => suggestions : ['']
32 Guillemets typographiques ouvrants. =>   "brasero" | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. =>   "brasero" | " => suggestions : ['\xa0»', '”']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        control + b |         => suggestions : ['']
33 Mot inconnu : control =>        control + b | control

36 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Certaines règles sont plus compliquées à décrire car les touches ne portent pas toutes des noms évidents. Pour désigner les touches en général, on  peut utiliser des //keycodes//, dont les valeurs s'obtiennent en utilisant la commande ''xbindkeys -k''. |  car => suggestions : [', car']
36 Erreur d’accord probable : « noms » est masculin. => Certaines règles sont plus compliquées à décrire car les touches ne portent pas toutes des noms évidents. Pour désigner les touches en général, on  peut utiliser des //keycodes//, dont les valeurs s'obtiennent en utilisant la commande ''xbindkeys -k''. | toutes => suggestions : ['tous']
36 Espace(s) surnuméraire(s) à supprimer. => Certaines règles sont plus compliquées à décrire car les touches ne portent pas toutes des noms évidents. Pour désigner les touches en général, on  peut utiliser des //keycodes//, dont les valeurs s'obtiennent en utilisant la commande ''xbindkeys -k''. |    => suggestions : [' ']
36 Mot inconnu : keycodes => Certaines règles sont plus compliquées à décrire car les touches ne portent pas toutes des noms évidents. Pour désigner les touches en général, on  peut utiliser des //keycodes//, dont les valeurs s'obtiennent en utilisant la commande ''xbindkeys -k''. | keycodes
36 Guillemets typographiques ouvrants. => Certaines règles sont plus compliquées à décrire car les touches ne portent pas toutes des noms évidents. Pour désigner les touches en général, on  peut utiliser des //keycodes//, dont les valeurs s'obtiennent en utilisant la commande ''xbindkeys -k''. | '' => suggestions : ['«\xa0', '“']
36 Mot inconnu : xbindkeys => Certaines règles sont plus compliquées à décrire car les touches ne portent pas toutes des noms évidents. Pour désigner les touches en général, on  peut utiliser des //keycodes//, dont les valeurs s'obtiennent en utilisant la commande ''xbindkeys -k''. | xbindkeys
36 Il manque un espace à côté du tiret. => Certaines règles sont plus compliquées à décrire car les touches ne portent pas toutes des noms évidents. Pour désigner les touches en général, on  peut utiliser des //keycodes//, dont les valeurs s'obtiennent en utilisant la commande ''xbindkeys -k''. |  - => suggestions : [' – ', ' — ']
36 Guillemets typographiques fermants. => Certaines règles sont plus compliquées à décrire car les touches ne portent pas toutes des noms évidents. Pour désigner les touches en général, on  peut utiliser des //keycodes//, dont les valeurs s'obtiennent en utilisant la commande ''xbindkeys -k''. | '' => suggestions : ['\xa0»', '”']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Control+Mod2 + space</code> |      => suggestions : ['']
43 Mot inconnu : Control =>     Control+Mod2 + space</code> | control
43 Mot inconnu : Mod2 =>     Control+Mod2 + space</code> | mod2
43 Mot inconnu : space =>     Control+Mod2 + space</code> | space

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Catch CHLD signal -> pid 11725 terminated</code> |    => suggestions : ['']
68 Mot inconnu : CHLD =>   Catch CHLD signal -> pid 11725 terminated</code> | chld
68 Mot inconnu : pid =>   Catch CHLD signal -> pid 11725 terminated</code> | pid
68 Si “terminated” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   Catch CHLD signal -> pid 11725 terminated</code> | 11725 terminated => suggestions : ['11\xa0725\xa0terminated']
68 Mot inconnu : terminated =>   Catch CHLD signal -> pid 11725 terminated</code> | terminated

70 Guillemets typographiques ouvrants. => Pour quitter ce mode interactif, faites ''[Ctrl] + [C]''. Si tout va bien, vous pouvez lancer ''xbindkeys'' en tâche de fond. | '' => suggestions : ['«\xa0', '“']
70 Mot inconnu : xbindkeys => Pour quitter ce mode interactif, faites ''[Ctrl] + [C]''. Si tout va bien, vous pouvez lancer ''xbindkeys'' en tâche de fond. | xbindkeys
70 Guillemets typographiques fermants. => Pour quitter ce mode interactif, faites ''[Ctrl] + [C]''. Si tout va bien, vous pouvez lancer ''xbindkeys'' en tâche de fond. | '' => suggestions : ['\xa0»', '”']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #  |    => suggestions : ['']
76 Espace(s) en fin de ligne à supprimer. =>   #  |   => suggestions : ['']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Rappel : écrire |    => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #   m:0x0 + b:n |    => suggestions : ['']
79 Il manque un espace. =>   #   m:0x0 + b:n | 0x0 => suggestions : [' 0x0']
79 Mot inconnu : x0 =>   #   m:0x0 + b:n | x0
79 Il manque un espace. =>   #   m:0x0 + b:n | n => suggestions : [' n']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # ou |    => suggestions : ['']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #   b:n |    => suggestions : ['']
81 Il manque un espace. =>   #   b:n | n => suggestions : [' n']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # est équivalent (absence de modificateur). |    => suggestions : ['']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #BOUTON 6 |    => suggestions : ['']
86 Mot inconnu : TAB => #ACTION : TAB | tab

87 Il manque un espace à côté du tiret. => "/usr/bin/xvkbd -xsendevent -text "\[Tab]"" |  - => suggestions : [' – ', ' — ']
87 Mot inconnu : xsendevent => "/usr/bin/xvkbd -xsendevent -text "\[Tab]"" | xsendevent
87 Mot inconnu : text => "/usr/bin/xvkbd -xsendevent -text "\[Tab]"" | text
87 Mot inconnu : Tab => "/usr/bin/xvkbd -xsendevent -text "\[Tab]"" | tab

88 Il manque un espace. => b:6 | 6 => suggestions : [' 6']

93 Il manque un espace à côté du tiret. => "/usr/bin/xvkbd -xsendevent -text "\[k]"" |  - => suggestions : [' – ', ' — ']
93 Mot inconnu : xsendevent => "/usr/bin/xvkbd -xsendevent -text "\[k]"" | xsendevent
93 Mot inconnu : text => "/usr/bin/xvkbd -xsendevent -text "\[k]"" | text

94 Il manque un espace. => b:7 | 7 => suggestions : [' 7']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Raccourci Alt+gauche associé avec le bouton 9 |    => suggestions : ['']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # (dans Firefox, permet de revenir à la page précédente) |    => suggestions : ['']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "/usr/bin/xvkbd -xsendevent -text "\[Alt_L]\[</file> |    => suggestions : ['']
98 Il manque un espace à côté du tiret. =>   "/usr/bin/xvkbd -xsendevent -text "\[Alt_L]\[</file> |  - => suggestions : [' – ', ' — ']
98 Mot inconnu : xsendevent =>   "/usr/bin/xvkbd -xsendevent -text "\[Alt_L]\[</file> | xsendevent
98 Mot inconnu : text =>   "/usr/bin/xvkbd -xsendevent -text "\[Alt_L]\[</file> | text
98 Mot inconnu : Alt_L =>   "/usr/bin/xvkbd -xsendevent -text "\[Alt_L]\[</file> | alt_l

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

101 Mot inconnu : XBindKeys => ===== Lancer XBindKeys automatiquement ===== | xbindkeys

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.nongnu.org/xbindkeys/xbindkeys.fr.html|Sur nongnu.org]] |    => suggestions : ['']
106 Mot inconnu : nongnu =>   * [[http://www.nongnu.org/xbindkeys/xbindkeys.fr.html|Sur nongnu.org]] | nongnu

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://savannah.nongnu.org/projects/xbindkeys/|Le site officiel]] |    => suggestions : ['']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (en) [[https://askubuntu.com/questions/254424/how-can-i-change-what-keys-on-my-keyboard-do-how-can-i-create-custom-keyboard#254425|d'autres infos sur Ask-Ubuntu]] |    => suggestions : ['']
108 Mot inconnu : Ask-Ubuntu =>   * (en) [[https://askubuntu.com/questions/254424/how-can-i-change-what-keys-on-my-keyboard-do-how-can-i-create-custom-keyboard#254425|d'autres infos sur Ask-Ubuntu]] | ask-ubuntu

111 Il manque un espace. => Contributeurs : [[utilisateurs:l_africain|L'Africain]] | l_africain => suggestions : [' l_africain']
