
4 Mot inconnu : XdTV => ====== XdTV ====== | xdtv

6 Mot inconnu : XdTV => XdTV est un logiciel permettant l'utilisation de carte TV sous Linux via les pilotes Video4Linux. (Lecture et enregistrement à la volée) | xdtv
6 Mot inconnu : Video4Linux => XdTV est un logiciel permettant l'utilisation de carte TV sous Linux via les pilotes Video4Linux. (Lecture et enregistrement à la volée) | video4linux

8 Mot inconnu : XawTV => Il est basé sur [[XawTV]], lui ajoutant quelques fonctions et corrigeant pas mal de bugs. | xawtv

12 Mot inconnu : camescope => En plus de permettre la vision de la télévision, il permet facilement de choisir l'entrée vidéo à utiliser, et donc de regarder le flux vidéo d'un camescope, d'une console de jeu ou d'un magnétoscope. | camescope

16 Mot inconnu : XdTV => XdTV est sans conteste la meilleure application pour utiliser une carte d'acquisition sous Linux. | xdtv

18 Mot inconnu : XdTV => <note>XdTV utilise ALSA, permettant ainsi la capture TV depuis la suppression de la compatibilité OSS dans Maverick et suivants</note> | xdtv
18 Mot inconnu : ALSA => <note>XdTV utilise ALSA, permettant ainsi la capture TV depuis la suppression de la compatibilité OSS dans Maverick et suivants</note> | alsa
18 Mot inconnu : Maverick => <note>XdTV utilise ALSA, permettant ainsi la capture TV depuis la suppression de la compatibilité OSS dans Maverick et suivants</note> | maverick

22 Mot inconnu : Lucid => Voici quelques paquets pour Ubuntu Lucid et suivants et Debian Squeeze et suivants: | lucid

32 Mot inconnu : XdTV => ===== Configurer XdTV ===== | xdtv

34 Mot inconnu : XdTV => Normalement tout devrait déjà être fonctionnel après l'installation, mais pour les malchanceux et pour les utilisateurs exigeants voici comment configurer au poil XdTV. | xdtv
58 Mot inconnu : xdtv => Cette commande veut donc dire: ouvrir xdtv en ignorant la configuration, sans l'accélération graphique, et en utilisant la carte d'acquisition numéro 2 ! | xdtv

62 Mot inconnu : FIXME => FIXME explications sur comment faire. | fixme

66 Mot inconnu : XdTV => La plupart du temps vous n'aurez pas à mettre les mains dans le cambouis. Mais parfois pour une raison X ou Y vous aurez peut-être envie de modifier à la main le fichier de configuration de XdTV. | xdtv

68 Guillemets typographiques ouvrants. => Par exemple pour changer les paramètres par défaut qui ne sont pas enregistrés par le bouton "Apply & Save". | " => suggestions : ['«\xa0', '“']
68 Mot inconnu : Apply => Par exemple pour changer les paramètres par défaut qui ne sont pas enregistrés par le bouton "Apply & Save". | apply
68 Mot inconnu : Save => Par exemple pour changer les paramètres par défaut qui ne sont pas enregistrés par le bouton "Apply & Save". | save
68 Guillemets typographiques fermants. => Par exemple pour changer les paramètres par défaut qui ne sont pas enregistrés par le bouton "Apply & Save". | " => suggestions : ['\xa0»', '”']

74 Guillemets typographiques ouvrants. => **~** veut dire "votre dossier personnel". si vous ne trouvez pas de dossier **".xdtv"** c'est tout a fait normal, c'est un dossier caché. Faites tout d'abord //"Affichage->Afficher les fichiers cachés"//. | " => suggestions : ['«\xa0', '“']
74 Guillemets typographiques fermants. => **~** veut dire "votre dossier personnel". si vous ne trouvez pas de dossier **".xdtv"** c'est tout a fait normal, c'est un dossier caché. Faites tout d'abord //"Affichage->Afficher les fichiers cachés"//. | " => suggestions : ['\xa0»', '”']
74 Mot inconnu : xdtv => **~** veut dire "votre dossier personnel". si vous ne trouvez pas de dossier **".xdtv"** c'est tout a fait normal, c'est un dossier caché. Faites tout d'abord //"Affichage->Afficher les fichiers cachés"//. | xdtv
74 Guillemets typographiques fermants. => **~** veut dire "votre dossier personnel". si vous ne trouvez pas de dossier **".xdtv"** c'est tout a fait normal, c'est un dossier caché. Faites tout d'abord //"Affichage->Afficher les fichiers cachés"//. | " => suggestions : ['\xa0»', '”']
74 Confusion : “a” est une forme conjuguée de “avoir”. Pour la préposition, écrivez “à”. => **~** veut dire "votre dossier personnel". si vous ne trouvez pas de dossier **".xdtv"** c'est tout a fait normal, c'est un dossier caché. Faites tout d'abord //"Affichage->Afficher les fichiers cachés"//. | a => suggestions : ['à']
74 Guillemets typographiques ouvrants. => **~** veut dire "votre dossier personnel". si vous ne trouvez pas de dossier **".xdtv"** c'est tout a fait normal, c'est un dossier caché. Faites tout d'abord //"Affichage->Afficher les fichiers cachés"//. | " => suggestions : ['«\xa0', '“']
74 Guillemets typographiques fermants. => **~** veut dire "votre dossier personnel". si vous ne trouvez pas de dossier **".xdtv"** c'est tout a fait normal, c'est un dossier caché. Faites tout d'abord //"Affichage->Afficher les fichiers cachés"//. | " => suggestions : ['\xa0»', '”']

87 Guillemets typographiques ouvrants. => Il faut les ajouter dans les "Global options" vers le haut. | " => suggestions : ['«\xa0', '“']
87 Accord de nombre erroné : « Global » devrait être au pluriel. => Il faut les ajouter dans les "Global options" vers le haut. | global => suggestions : ['Globaux']
87 Guillemets typographiques fermants. => Il faut les ajouter dans les "Global options" vers le haut. | " => suggestions : ['\xa0»', '”']

89 Formatage des grands nombres. => Pour changer la valeur par défaut il faut choisir une valeur entre 0 et 65535, 32768 correspond à 50%. | 65535 => suggestions : ['65\xa0535']
89 Formatage des grands nombres. => Pour changer la valeur par défaut il faut choisir une valeur entre 0 et 65535, 32768 correspond à 50%. | 32768 => suggestions : ['32\xa0768']

93 Mot inconnu : FIXME => FIXME | fixme

97 Mot inconnu : XdTV => Vous pouvez ouvrir XdTV via le raccourci disponible dans Applications->Son et vidéo | xdtv

99 Mot inconnu : XdTV => Vous avez deux raccourcis, le deuxième (XdTV Wizard) permet d'avoir accès à quelques options qui peuvent être utiles. | xdtv
99 Mot inconnu : Wizard => Vous avez deux raccourcis, le deuxième (XdTV Wizard) permet d'avoir accès à quelques options qui peuvent être utiles. | wizard

103 Mot inconnu : XdTV => Vous ouvrez XdTV, une fenêtre s'ouvre. Cette fenêtre ne permet rien d'autre que de voir le flux. | xdtv

105 Typographie : points de suspension. Utilisez le caractère dédié. => Faites un clic droit n'importe où dans cette fenêtre et la fenêtre principale apparait. Cette fenêtre permet de régler différentes choses évidentes comme la luminosité, le contraste, etc ... | ... => suggestions : ['…']

112 Guillemets typographiques ouvrants. => <note important>Si vous n'avez pas d'image (cadre noir) pensez à mettre le paramètre "Capture" en "Grabdisplay"</note> | " => suggestions : ['«\xa0', '“']
112 Guillemets typographiques fermants. => <note important>Si vous n'avez pas d'image (cadre noir) pensez à mettre le paramètre "Capture" en "Grabdisplay"</note> | " => suggestions : ['\xa0»', '”']
112 Guillemets typographiques ouvrants. => <note important>Si vous n'avez pas d'image (cadre noir) pensez à mettre le paramètre "Capture" en "Grabdisplay"</note> | " => suggestions : ['«\xa0', '“']
112 Mot inconnu : Grabdisplay => <note important>Si vous n'avez pas d'image (cadre noir) pensez à mettre le paramètre "Capture" en "Grabdisplay"</note> | grabdisplay
112 Guillemets typographiques fermants. => <note important>Si vous n'avez pas d'image (cadre noir) pensez à mettre le paramètre "Capture" en "Grabdisplay"</note> | " => suggestions : ['\xa0»', '”']

116 Mot inconnu : Movie => Là on va s'attarder sur le menu **Record Movie** de la fenêtre de configuration principale. | movie

118 Mot inconnu : Video => === Video Parameters === | video
118 Mot inconnu : Parameters => === Video Parameters === | parameters

120 Mot inconnu : Movie => Vous pouvez y accéder via //**Record Movie->Video parameters**// | movie
120 Mot inconnu : Video => Vous pouvez y accéder via //**Record Movie->Video parameters**// | video
120 Mot inconnu : parameters => Vous pouvez y accéder via //**Record Movie->Video parameters**// | parameters

135 Mot inconnu : parameters => === Audio parameters === | parameters

137 Mot inconnu : Movie => Vous pouvez y accéder par deux moyens, **//Record Movie->Audio parameters//** ou dans le panneau de contrôle vidéo, via le bouton **Open Audio recorder options** | movie
137 Mot inconnu : parameters => Vous pouvez y accéder par deux moyens, **//Record Movie->Audio parameters//** ou dans le panneau de contrôle vidéo, via le bouton **Open Audio recorder options** | parameters

149 Mot inconnu : Movie => Pour lancer l'enregistrement, cliquez sur **Record Movie** puis **Record start**. | movie
149 Mot inconnu : start => Pour lancer l'enregistrement, cliquez sur **Record Movie** puis **Record start**. | start

151 Mot inconnu : Movie => Quand vous voudrez l'arrêter, il suffira de faire //**Record Movie->Record Stop**//, un récapitulatif apparait. \\ Ne vous inquiétez pas, ce récapitulatif ne fait que vous avertir du bon déroulement de l'enregistrement. À moins ! À moins ! Que vous y retrouviez un gros cadre bizarre vous avertissant que votre ordinateur n'est pas assez puissant pour la qualité vidéo que vous avez choisie. (avec le codec choisi par mes soins, même le PC fixe neuf le plus bas de gamme suffira amplement !) | movie

155 Mot inconnu : WinFF => Le format de fichier que je vous ai fait choisir est très commun, ne demande que peu de ressources et est de bonne qualité. Vous pouvez ensuite convertir la vidéo dans n'importe quel format via [[WinFF]] ou [[Avidemux]] par exemple. | winff
155 Mot inconnu : Avidemux => Le format de fichier que je vous ai fait choisir est très commun, ne demande que peu de ressources et est de bonne qualité. Vous pouvez ensuite convertir la vidéo dans n'importe quel format via [[WinFF]] ou [[Avidemux]] par exemple. | avidemux

157 Mot inconnu : plops => === Corriger les plops dans le son - Le son grésille sur les vidéos enregistrées === | plops
157 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => === Corriger les plops dans le son - Le son grésille sur les vidéos enregistrées === |  -  => suggestions : [' – ', ' — ', ' − ']

