
3 Mot inconnu : Xmind => ====== Xmind : logiciel d'édition de carte heuristique ====== | xmind

6 Mot inconnu : XMind => **XMind** est un logiciel Open Source qui permet de créer des cartes heuristiques. Ce logiciel se base sur Eclipse et un framework graphique (lequel ?) ce qui assure une portabilité de l'application sur les principales plateformes informatiques actuelles (les trois systèmes d'exploitation : GNU/Linux, Mac OS X, Windows). Pour bénéficier de fonctions avancées notamment en terme d'export, ce qui est souvent indispensable dans le cadre du travail professionnel, il faut passer à la version payante qui est disponible auprès de la société XMind.  | xmind
6 Dans la locution “en termes de”, mettez “terme” au pluriel. => **XMind** est un logiciel Open Source qui permet de créer des cartes heuristiques. Ce logiciel se base sur Eclipse et un framework graphique (lequel ?) ce qui assure une portabilité de l'application sur les principales plateformes informatiques actuelles (les trois systèmes d'exploitation : GNU/Linux, Mac OS X, Windows). Pour bénéficier de fonctions avancées notamment en terme d'export, ce qui est souvent indispensable dans le cadre du travail professionnel, il faut passer à la version payante qui est disponible auprès de la société XMind.  | en terme d' => suggestions : ['en termes d’']
6 Mot inconnu : XMind => **XMind** est un logiciel Open Source qui permet de créer des cartes heuristiques. Ce logiciel se base sur Eclipse et un framework graphique (lequel ?) ce qui assure une portabilité de l'application sur les principales plateformes informatiques actuelles (les trois systèmes d'exploitation : GNU/Linux, Mac OS X, Windows). Pour bénéficier de fonctions avancées notamment en terme d'export, ce qui est souvent indispensable dans le cadre du travail professionnel, il faut passer à la version payante qui est disponible auprès de la société XMind.  | xmind
6 Espace(s) en fin de ligne à supprimer. => **XMind** est un logiciel Open Source qui permet de créer des cartes heuristiques. Ce logiciel se base sur Eclipse et un framework graphique (lequel ?) ce qui assure une portabilité de l'application sur les principales plateformes informatiques actuelles (les trois systèmes d'exploitation : GNU/Linux, Mac OS X, Windows). Pour bénéficier de fonctions avancées notamment en terme d'export, ce qui est souvent indispensable dans le cadre du travail professionnel, il faut passer à la version payante qui est disponible auprès de la société XMind.  |   => suggestions : ['']

9 Espace(s) surnuméraire(s) à supprimer. => ===== Fonctions  ===== |    => suggestions : [' ']
10 Mot inconnu : core => <note warning>De nombreuses options sont payantes ! Il s'agit d'un logiciel de type «freemium» ou «open core» qui n'est pas totalement libre ; alors méfiance ! Préférez-lui le logiciel[[freeplane]] par exemple.</note> | core
10 Mot inconnu : freeplane => <note warning>De nombreuses options sont payantes ! Il s'agit d'un logiciel de type «freemium» ou «open core» qui n'est pas totalement libre ; alors méfiance ! Préférez-lui le logiciel[[freeplane]] par exemple.</note> | freeplane

20 Espace(s) surnuméraire(s) à supprimer. => ===== Installation  ===== |    => suggestions : [' ']

22 Mot inconnu : Xmind => Xmind est disponible sous forme de paquet logiciel que l'on doit télécharger  [[http://www.xmind.net|sur le site de la société]]. | xmind
22 Espace(s) surnuméraire(s) à supprimer. => Xmind est disponible sous forme de paquet logiciel que l'on doit télécharger  [[http://www.xmind.net|sur le site de la société]]. |    => suggestions : [' ']

24 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Après téléchargement du fichier .zip (classiquement vous êtes dans votre répertoire //Téléchargements//) : |  . => suggestions : ['. ', '.']

41 Mot inconnu : XMind_amd64 => <note>Remplacer XMind_amd64 par XMind_i386 si vous êtes en 32bits</note> | xmind_amd64
41 Mot inconnu : XMind_i386 => <note>Remplacer XMind_amd64 par XMind_i386 si vous êtes en 32bits</note> | xmind_i386

44 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===== Ajout de l’icône pour les fichiers .xmind ===== |  . => suggestions : ['. ', '.']
44 Mot inconnu : xmind => ===== Ajout de l’icône pour les fichiers .xmind ===== | xmind

45 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => <note warning>la méthode présentée ici ne semble pas fonctionner sous Ubuntu 18.04. À vérifier avec https://developer.gnome.org/integration-guide/stable/mime.html.fr et https://developer.gnome.org/integration-guide/stable/desktop-files.html.fr</note> | la => suggestions : ['La']

46 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Aucune icône n'est définie pour les fichiers .xmind (il faudrait que ça soit corrigé dans le paquet ...) |  . => suggestions : ['. ', '.']
46 Mot inconnu : xmind => Aucune icône n'est définie pour les fichiers .xmind (il faudrait que ça soit corrigé dans le paquet ...) | xmind
