
4 Mot inconnu : XMPP => ====== Messagerie instantanée XMPP ====== | xmpp

10 Guillemets typographiques ouvrants. => L'utilisation du réseau est totalement gratuite, il suffit de vous créer un compte (adresse+mot de passe), puis de vous connecter grâce à un logiciel ("client") compatible. | " => suggestions : ['«\xa0', '“']
10 Guillemets typographiques fermants. => L'utilisation du réseau est totalement gratuite, il suffit de vous créer un compte (adresse+mot de passe), puis de vous connecter grâce à un logiciel ("client") compatible. | " => suggestions : ['\xa0»', '”']

19 Mot inconnu : XMPP => ===== Comment se créer un compte XMPP ?===== | xmpp

21 Guillemets typographiques ouvrants. => Un "compte XMPP" est constitué d'un identifiant ("//moi@jabber.fr//", "//moi@fritalk.com//" ou "//moi@apinc.org//" par exemple) et d'un mot de passe.  | " => suggestions : ['«\xa0', '“']
21 Mot inconnu : XMPP => Un "compte XMPP" est constitué d'un identifiant ("//moi@jabber.fr//", "//moi@fritalk.com//" ou "//moi@apinc.org//" par exemple) et d'un mot de passe.  | xmpp
21 Guillemets typographiques fermants. => Un "compte XMPP" est constitué d'un identifiant ("//moi@jabber.fr//", "//moi@fritalk.com//" ou "//moi@apinc.org//" par exemple) et d'un mot de passe.  | " => suggestions : ['\xa0»', '”']
21 Espace(s) en fin de ligne à supprimer. => Un "compte XMPP" est constitué d'un identifiant ("//moi@jabber.fr//", "//moi@fritalk.com//" ou "//moi@apinc.org//" par exemple) et d'un mot de passe.  |   => suggestions : ['']

26 Mot inconnu : XMPP => ===== Clients XMPP ===== | xmpp

28 Mot inconnu : XMPP => Pour vous connecter au réseau XMPP, vous devez utiliser un logiciel (appelé "client de messagerie instantanée") compatible. | xmpp
28 Guillemets typographiques ouvrants. => Pour vous connecter au réseau XMPP, vous devez utiliser un logiciel (appelé "client de messagerie instantanée") compatible. | " => suggestions : ['«\xa0', '“']
28 Guillemets typographiques fermants. => Pour vous connecter au réseau XMPP, vous devez utiliser un logiciel (appelé "client de messagerie instantanée") compatible. | " => suggestions : ['\xa0»', '”']
41 Mot inconnu : XMPP => //Voir aussi: **[[http://xmpp.org/xmpp-software/clients/|Liste de clients pour le réseau XMPP]]**// | xmpp

47 Mot inconnu : XMPP => Le protocole XMPP vous permet, en plus des discussions avec vos contacts personnels, de discuter sur des salons publics. | xmpp

49 Mot inconnu : IRC => Un peu à la manière d'IRC, il vous suffit de rejoindre un salon (la manipulation dépend du client que vous utilisez, mais elle est très simple dans tous les cas) en entrant son adresse. On peut par exemple rejoindre le salon « jabberfr » sur le serveur « chat.jabberfr.org » en entrant son adresse : //jabberfr@chat.jabberfr.org//. | irc
49 Mot inconnu : jabberfr => Un peu à la manière d'IRC, il vous suffit de rejoindre un salon (la manipulation dépend du client que vous utilisez, mais elle est très simple dans tous les cas) en entrant son adresse. On peut par exemple rejoindre le salon « jabberfr » sur le serveur « chat.jabberfr.org » en entrant son adresse : //jabberfr@chat.jabberfr.org//. | jabberfr

53 Mot inconnu : grace => Notez également que certains salons peuvent être rejoins directement depuis le navigateur web, grace à Muckl, sans nécessiter la création d'un compte ni l'installation d'un client. | grace
53 Mot inconnu : Muckl => Notez également que certains salons peuvent être rejoins directement depuis le navigateur web, grace à Muckl, sans nécessiter la création d'un compte ni l'installation d'un client. | muckl

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Voir le portail [[visioconference]]. |   => suggestions : ['']
57 Mot inconnu : visioconference =>  Voir le portail [[visioconference]]. | visioconference
