
4 Mot inconnu : XPDF => ====== XPDF : lecteur de fichiers PDF ====== | xpdf

7 Mot inconnu : XPDF => **XPDF** est un lecteur de fichiers PDF très rapide et léger, qui se lance quasi instantanément. L'interface est effectivement très simpliste, mais suffit pour une utilisation occasionnelle. Il possède toutes les fonctions basiques d'un lecteur PDF. | xpdf

9 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note warning>A partir de Ubuntu 20.04 : le logiciel n'est plus dans les dépôts Ubuntu</note> | a => suggestions : ['À']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.foolabs.com/xpdf/|Site officiel]] [en] |    => suggestions : ['']
31 Il manque un espace. => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:Ban]].// | adam0509 => suggestions : [' adam0509']
31 Il manque un espace. => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:Ban]].// | ban => suggestions : [' Ban']
