
6 Mot inconnu : XSane => ====== Scanner des documents avec XSane ====== | xsane

10 Mot inconnu : Xsane => **Xsane** utilise les bibliothèques « SANE-library » installées par défaut dans Ubuntu. Ces dernières remplacent avantageusement les pilotes propriétaires afin de commander votre scanner, ce qui veut dire que **XSane** ne prend en charge aucun scanner soi-même. (Il existe d'autres périphériques supportés par les bibliothèques « SANE », tels que les caméras et les périphériques vidéo, mais il est possible que xSane ne les supporte pas). | xsane
10 Mot inconnu : SANE-library => **Xsane** utilise les bibliothèques « SANE-library » installées par défaut dans Ubuntu. Ces dernières remplacent avantageusement les pilotes propriétaires afin de commander votre scanner, ce qui veut dire que **XSane** ne prend en charge aucun scanner soi-même. (Il existe d'autres périphériques supportés par les bibliothèques « SANE », tels que les caméras et les périphériques vidéo, mais il est possible que xSane ne les supporte pas). | sane-library
10 Mot inconnu : XSane => **Xsane** utilise les bibliothèques « SANE-library » installées par défaut dans Ubuntu. Ces dernières remplacent avantageusement les pilotes propriétaires afin de commander votre scanner, ce qui veut dire que **XSane** ne prend en charge aucun scanner soi-même. (Il existe d'autres périphériques supportés par les bibliothèques « SANE », tels que les caméras et les périphériques vidéo, mais il est possible que xSane ne les supporte pas). | xsane
10 Mot inconnu : SANE => **Xsane** utilise les bibliothèques « SANE-library » installées par défaut dans Ubuntu. Ces dernières remplacent avantageusement les pilotes propriétaires afin de commander votre scanner, ce qui veut dire que **XSane** ne prend en charge aucun scanner soi-même. (Il existe d'autres périphériques supportés par les bibliothèques « SANE », tels que les caméras et les périphériques vidéo, mais il est possible que xSane ne les supporte pas). | sane
10 Mot inconnu : xSane => **Xsane** utilise les bibliothèques « SANE-library » installées par défaut dans Ubuntu. Ces dernières remplacent avantageusement les pilotes propriétaires afin de commander votre scanner, ce qui veut dire que **XSane** ne prend en charge aucun scanner soi-même. (Il existe d'autres périphériques supportés par les bibliothèques « SANE », tels que les caméras et les périphériques vidéo, mais il est possible que xSane ne les supporte pas). | xsane

12 Mot inconnu : SANE => Pour savoir si votre scanner est supporté par SANE, consultez [[http://www.sane-project.org/sane-mfgs.html|cette page]]. \\ | sane

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

31 Guillemets typographiques ouvrants. => Nous prendrons comme exemple la page ci-contre, qui est la page de couverture de "Premier pas avec Ubuntu". | " => suggestions : ['«\xa0', '“']
