
3 Mot inconnu : Xterm => ====== Xterm ====== | xterm

5 Mot inconnu : Xterm => Xterm est un terminal d'émulation tel que le [[Terminal]] de gnome mais il permet de spécifier beaucoup d'options sur l'affichage et la gestion d'options telles que la taille de la fenêtre, le comportement, etc. | xterm
5 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Xterm est un terminal d'émulation tel que le [[Terminal]] de gnome mais il permet de spécifier beaucoup d'options sur l'affichage et la gestion d'options telles que la taille de la fenêtre, le comportement, etc. |  mais => suggestions : [', mais']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     sudo apt-get install xterm |      => suggestions : ['']
9 Mot inconnu : sudo =>     sudo apt-get install xterm | sudo
9 Mot inconnu : apt-get =>     sudo apt-get install xterm | apt-get
9 Mot inconnu : install =>     sudo apt-get install xterm | install
9 Mot inconnu : xterm =>     sudo apt-get install xterm | xterm

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     xterm -e 'sudo apt-get update' |      => suggestions : ['']
13 Mot inconnu : xterm =>     xterm -e 'sudo apt-get update' | xterm
13 Il manque un espace à côté du tiret. =>     xterm -e 'sudo apt-get update' |  - => suggestions : [' – ', ' — ']
13 Guillemets typographiques ouvrants. =>     xterm -e 'sudo apt-get update' | ' => suggestions : ['“', '‘', '‹']
13 Mot inconnu : sudo =>     xterm -e 'sudo apt-get update' | sudo
13 Mot inconnu : apt-get =>     xterm -e 'sudo apt-get update' | apt-get
13 Mot inconnu : update =>     xterm -e 'sudo apt-get update' | update
13 Guillemets typographiques fermants. =>     xterm -e 'sudo apt-get update' | ' => suggestions : ['”', '’', '›']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

16 Il manque un espace à côté du tiret. => l'option -e doit être la dernière option utilisée (voir le conséquent man xterm) |  - => suggestions : [' – ', ' — ']
16 Mot inconnu : xterm => l'option -e doit être la dernière option utilisée (voir le conséquent man xterm) | xterm

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     exemple dans un .desktop |      => suggestions : ['']
17 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>     exemple dans un .desktop |  . => suggestions : ['. ', '.']
17 Mot inconnu : desktop =>     exemple dans un .desktop | desktop

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f |      => suggestions : ['']
18 Mot inconnu : Exec =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | exec
18 Mot inconnu : xterm =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | xterm
18 Il manque un espace à côté du tiret. =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f |  - => suggestions : [' – ', ' — ']
18 Guillemets typographiques ouvrants. =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | " => suggestions : ['«\xa0', '“']
18 Mot inconnu : bold =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | bold
18 Guillemets typographiques fermants. =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | " => suggestions : ['\xa0»', '”']
18 Guillemets typographiques ouvrants. =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | " => suggestions : ['«\xa0', '“']
18 Guillemets typographiques fermants. =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | " => suggestions : ['\xa0»', '”']
18 Mot inconnu : geometry =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | geometry
18 Signe de multiplication typographique. =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | 95x25 => suggestions : ['95\xa0×\xa025']
18 Mot inconnu : x25-15-60 =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | x25-15-60
18 Il manque un espace à côté du tiret. =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f |  - => suggestions : [' – ', ' — ']
18 Mot inconnu : journalctl =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f | journalctl
18 Il manque un espace à côté du tiret. =>     Exec=xterm -fa "Monospace bold" -fs "14" -geometry 95x25-15-60@1 -e journalctl -f |  - => suggestions : [' – ', ' — ']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']
