4 Espace(s) en fin de ligne à supprimer. => ====== Y PPA MANAGER ======    |     => suggestions : ['']
6 Accord de nombre erroné : « dépôt » devrait être au pluriel. => **Y PPA Manager** est une application graphique (en anglais) permettant de gérer facilement les dépôt PPA: | dépôt => suggestions : ['dépôts']
7 Typographie : points de suspension. Utilisez le caractère dédié. => Ajout, suppression, purge des dépôts PPA, lister les paquets disponibles... | ... => suggestions : ['…']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
36 Mot inconnu : Launchpad => **(en)**[[https://launchpad.net/y-ppa-manager|PPA Manager sur Launchpad]]. | launchpad

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
