
3 Mot inconnu : ZeroMQ => ====== ZeroMQ (ØMQ) ====== | zeromq
3 Mot inconnu : ØMQ => ====== ZeroMQ (ØMQ) ====== | ømq

8 Mot inconnu : systems => Voici la traduction du §**To build on UNIX-like systems** de la page [[http://zeromq.org/intro:get-the-software]]:\\ | systems

9 Il manque un espace avant la parenthèse. => “Si vous avez le choix, le système d'exploitation le plus confortable pour développer((et déployer??… l'installation sous Windows, à ce jour (juillet 2017) est compliquée)) avec ZeroMQ est probablement Ubuntu.” :-D | ( => suggestions : [' (']
9 Mot inconnu : ZeroMQ => “Si vous avez le choix, le système d'exploitation le plus confortable pour développer((et déployer??… l'installation sous Windows, à ce jour (juillet 2017) est compliquée)) avec ZeroMQ est probablement Ubuntu.” :-D | zeromq

30 Mot inconnu : INSTALL => Lisez //INSTALL// pour plus de détails | install

44 Guillemets typographiques ouvrants. => Le client envoie des requêtes "Hello" au serveur qui va lui répondre "World" | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. => Le client envoie des requêtes "Hello" au serveur qui va lui répondre "World" | " => suggestions : ['\xa0»', '”']
44 Guillemets typographiques ouvrants. => Le client envoie des requêtes "Hello" au serveur qui va lui répondre "World" | " => suggestions : ['«\xa0', '“']
44 Mot inconnu : World => Le client envoie des requêtes "Hello" au serveur qui va lui répondre "World" | world
44 Guillemets typographiques fermants. => Le client envoie des requêtes "Hello" au serveur qui va lui répondre "World" | " => suggestions : ['\xa0»', '”']

46 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Il est défini ci-dessus un serveur en C++ et un client en Python mais vous pouvez évidemment utiliser le même langage pour les deux, d'autres langages pour l'un et l'autre… |  mais => suggestions : [', mais']

48 Mot inconnu : psenvpub => Un autre exemple intéressant pour débuter est le //psenvpub// (publicateur⇔publisher) et //psenvsub// (lecteur⇔subscriber) | psenvpub
48 Mot inconnu : publisher => Un autre exemple intéressant pour débuter est le //psenvpub// (publicateur⇔publisher) et //psenvsub// (lecteur⇔subscriber) | publisher
48 Mot inconnu : psenvsub => Un autre exemple intéressant pour débuter est le //psenvpub// (publicateur⇔publisher) et //psenvsub// (lecteur⇔subscriber) | psenvsub
48 Mot inconnu : subscriber => Un autre exemple intéressant pour débuter est le //psenvpub// (publicateur⇔publisher) et //psenvsub// (lecteur⇔subscriber) | subscriber
