2 Mot inconnu : dell => {{tag>dell sytème}}
2 Mot inconnu : sytème => {{tag>dell sytème}}

4 Mot inconnu : GKrellM => ====== GKrellM ======

5 Mot inconnu : i8kutils => {{:i8kutils.png  }}
5 Mot inconnu : png => {{:i8kutils.png  }}
5 Espace(s) surnuméraire(s) à supprimer. => {{:i8kutils.png  }}

6 Mot inconnu : GKrellm => **GKrellm** (GNU Krell Monitor) est un moniteur système simple d'accès.
6 Mot inconnu : Krell => **GKrellm** (GNU Krell Monitor) est un moniteur système simple d'accès.

10 Il manque un espace. => Pour installer ce logiciel, il suffit d'[[:tutoriel:comment_installer_un_paquet#paquet_present_dans_les_depots|installer le paquet]] **[[apt>gkrellm]]**.
10 Mot inconnu : comment_installer_un_paquet => Pour installer ce logiciel, il suffit d'[[:tutoriel:comment_installer_un_paquet#paquet_present_dans_les_depots|installer le paquet]] **[[apt>gkrellm]]**.
10 Mot inconnu : apt => Pour installer ce logiciel, il suffit d'[[:tutoriel:comment_installer_un_paquet#paquet_present_dans_les_depots|installer le paquet]] **[[apt>gkrellm]]**.
10 Mot inconnu : gkrellm => Pour installer ce logiciel, il suffit d'[[:tutoriel:comment_installer_un_paquet#paquet_present_dans_les_depots|installer le paquet]] **[[apt>gkrellm]]**.

13 Il manque un espace. => Lancez l'application comme indiqué [[:tutoriel:comment_lancer_application|ici]] ou via le [[:terminal]] (toutes [[:versions]] ou [[:variantes]] d'Ubuntu) avec la [[:commande_shell|commande]] suivante : <code>gkrellm</code>
13 Mot inconnu : comment_lancer_application => Lancez l'application comme indiqué [[:tutoriel:comment_lancer_application|ici]] ou via le [[:terminal]] (toutes [[:versions]] ou [[:variantes]] d'Ubuntu) avec la [[:commande_shell|commande]] suivante : <code>gkrellm</code>
13 Mot inconnu : commande_shell => Lancez l'application comme indiqué [[:tutoriel:comment_lancer_application|ici]] ou via le [[:terminal]] (toutes [[:versions]] ou [[:variantes]] d'Ubuntu) avec la [[:commande_shell|commande]] suivante : <code>gkrellm</code>
13 Mot inconnu : gkrellm => Lancez l'application comme indiqué [[:tutoriel:comment_lancer_application|ici]] ou via le [[:terminal]] (toutes [[:versions]] ou [[:variantes]] d'Ubuntu) avec la [[:commande_shell|commande]] suivante : <code>gkrellm</code>

18 Mot inconnu : Gkrellm => De nombreux greffons pour Gkrellm sont disponibles sur Internet afin d'étendre les fonctionnalités du programme. Les greffons peuvent s'installer à partir de paquets. La majorité des distributions GNU/Linux propose des paquets comportant un ou plusieurs greffons de Gkrellm.  
18 Mot inconnu : Gkrellm => De nombreux greffons pour Gkrellm sont disponibles sur Internet afin d'étendre les fonctionnalités du programme. Les greffons peuvent s'installer à partir de paquets. La majorité des distributions GNU/Linux propose des paquets comportant un ou plusieurs greffons de Gkrellm.  
18 Espace(s) en fin de ligne à supprimer. => De nombreux greffons pour Gkrellm sont disponibles sur Internet afin d'étendre les fonctionnalités du programme. Les greffons peuvent s'installer à partir de paquets. La majorité des distributions GNU/Linux propose des paquets comportant un ou plusieurs greffons de Gkrellm.  

20 Mot inconnu : Gkrellm => La liste des paquets contenant les plugins de Gkrellm est accessible via la commande:
20 Il manque un espace insécable. => La liste des paquets contenant les plugins de Gkrellm est accessible via la commande:

22 Mot inconnu : apt-cache => <code># apt-cache search gkrellm</code>
22 Mot inconnu : search => <code># apt-cache search gkrellm</code>
22 Mot inconnu : gkrellm => <code># apt-cache search gkrellm</code>

24 Il manque un espace. => L'installation s'effectuant [[:tutoriel:comment_installer_un_paquet|classiquement]].
24 Mot inconnu : comment_installer_un_paquet => L'installation s'effectuant [[:tutoriel:comment_installer_un_paquet|classiquement]].

26 Mot inconnu : gkrellmweather => ==== Greffon Météo (gkrellmweather) ====

28 Il manque un espace insécable. => Les ID Stations à 4 chiffres n'étant pas facilement trouvables, voici une liste au 24-08-2020 :

31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 01 - Ambérieu | LFXA |
31 Mot inconnu : Ambérieu => | 01 - Ambérieu | LFXA |
31 Mot inconnu : LFXA => | 01 - Ambérieu | LFXA |

32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 02 - Saint-Quentin Roupy | LFOW |
32 Mot inconnu : Roupy => | 02 - Saint-Quentin Roupy | LFOW |
32 Mot inconnu : LFOW => | 02 - Saint-Quentin Roupy | LFOW |

33 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 03 - Vichy Charmeil | LFLV |
33 Mot inconnu : Charmeil => | 03 - Vichy Charmeil | LFLV |
33 Mot inconnu : LFLV => | 03 - Vichy Charmeil | LFLV |

34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 04 - St-Auban-sur-Durance Château-Arnoux | LFMX |
34 Mot inconnu : St-Auban-sur-Durance => | 04 - St-Auban-sur-Durance Château-Arnoux | LFMX |
34 Mot inconnu : Château-Arnoux => | 04 - St-Auban-sur-Durance Château-Arnoux | LFMX |
34 Mot inconnu : LFMX => | 04 - St-Auban-sur-Durance Château-Arnoux | LFMX |

35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 06 - Cannes Mandelieu | LFMD |
35 Mot inconnu : Mandelieu => | 06 - Cannes Mandelieu | LFMD |
35 Mot inconnu : LFMD => | 06 - Cannes Mandelieu | LFMD |

36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 06 - Nice Côte D'Azur | LFMN |
36 Mot inconnu : LFMN => | 06 - Nice Côte D'Azur | LFMN |

37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 08 - Charleville Mézières | LFQV |
37 Mot inconnu : LFQV => | 08 - Charleville Mézières | LFQV |

38 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 09 - Saint-Girons Antichan | LFCG |
38 Mot inconnu : Antichan => | 09 - Saint-Girons Antichan | LFCG |
38 Mot inconnu : LFCG => | 09 - Saint-Girons Antichan | LFCG |

39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 10 - Troyes Barberey | LFQB |
39 Mot inconnu : Barberey => | 10 - Troyes Barberey | LFQB |
39 Mot inconnu : LFQB => | 10 - Troyes Barberey | LFQB |

40 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 11 - Carcassonne Salvaza | LFMK |
40 Mot inconnu : Salvaza => | 11 - Carcassonne Salvaza | LFMK |
40 Mot inconnu : LFMK => | 11 - Carcassonne Salvaza | LFMK |

41 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 12 - Rodez Marcillac | LFCR |
41 Mot inconnu : Marcillac => | 12 - Rodez Marcillac | LFCR |
41 Mot inconnu : LFCR => | 12 - Rodez Marcillac | LFCR |

42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 13 - Istres Le Tube (base aérienne) | LFMI |
42 Mot inconnu : LFMI => | 13 - Istres Le Tube (base aérienne) | LFMI |

