6 Il manque un espace insécable. => ====== Liste des portables « Targa » ======
6 Mot inconnu : Targa => ====== Liste des portables « Targa » ======
6 Il manque un espace insécable. => ====== Liste des portables « Targa » ======

8 Espace(s) surnuméraire(s) à supprimer. => ^ Modèle ^ Problème installation ^ Problème matériel ^ Commentaires  ^  [[:versions|Version]]  ^

9 Mot inconnu : Visionary => |Visionary XP 2400| non | non | aucun problème | Breezy, Hoary et Warty |
9 Mot inconnu : XP => |Visionary XP 2400| non | non | aucun problème | Breezy, Hoary et Warty |
9 Mot inconnu : Breezy => |Visionary XP 2400| non | non | aucun problème | Breezy, Hoary et Warty |
9 Mot inconnu : Hoary => |Visionary XP 2400| non | non | aucun problème | Breezy, Hoary et Warty |
9 Mot inconnu : Warty => |Visionary XP 2400| non | non | aucun problème | Breezy, Hoary et Warty |

10 Mot inconnu : Visionary => |Visionary XP | non | problème acpi | aucun problème en dehors de l'hibernation | Breezy, Hoary et Warty |
10 Mot inconnu : XP => |Visionary XP | non | problème acpi | aucun problème en dehors de l'hibernation | Breezy, Hoary et Warty |
10 Mot inconnu : acpi => |Visionary XP | non | problème acpi | aucun problème en dehors de l'hibernation | Breezy, Hoary et Warty |
10 Mot inconnu : Breezy => |Visionary XP | non | problème acpi | aucun problème en dehors de l'hibernation | Breezy, Hoary et Warty |
10 Mot inconnu : Hoary => |Visionary XP | non | problème acpi | aucun problème en dehors de l'hibernation | Breezy, Hoary et Warty |
10 Mot inconnu : Warty => |Visionary XP | non | problème acpi | aucun problème en dehors de l'hibernation | Breezy, Hoary et Warty |

11 Mot inconnu : Visionary => |Visionary 811 A | non | non | Ecran VGA suplementaire mal geré | Testé sous Hardy & Intrepid |
11 Mot inconnu : Ecran => |Visionary 811 A | non | non | Ecran VGA suplementaire mal geré | Testé sous Hardy & Intrepid |
11 Mot inconnu : VGA => |Visionary 811 A | non | non | Ecran VGA suplementaire mal geré | Testé sous Hardy & Intrepid |
11 Mot inconnu : suplementaire => |Visionary 811 A | non | non | Ecran VGA suplementaire mal geré | Testé sous Hardy & Intrepid |
11 Mot inconnu : geré => |Visionary 811 A | non | non | Ecran VGA suplementaire mal geré | Testé sous Hardy & Intrepid |
11 Mot inconnu : Intrepid => |Visionary 811 A | non | non | Ecran VGA suplementaire mal geré | Testé sous Hardy & Intrepid |

12 Mot inconnu : Traveller => |Traveller 1591| non | non | install en gnome : les applis comme kile ou K3B font planter le serveur X| Jaunty |
12 Mot inconnu : install => |Traveller 1591| non | non | install en gnome : les applis comme kile ou K3B font planter le serveur X| Jaunty |
12 Il manque un espace insécable. => |Traveller 1591| non | non | install en gnome : les applis comme kile ou K3B font planter le serveur X| Jaunty |
12 Mot inconnu : kile => |Traveller 1591| non | non | install en gnome : les applis comme kile ou K3B font planter le serveur X| Jaunty |
12 Mot inconnu : K3B => |Traveller 1591| non | non | install en gnome : les applis comme kile ou K3B font planter le serveur X| Jaunty |
12 Mot inconnu : Jaunty => |Traveller 1591| non | non | install en gnome : les applis comme kile ou K3B font planter le serveur X| Jaunty |

13 Mot inconnu : Traveller => |Traveller 1591| non | non | install en kde : problème d'affichage | Jaunty |
13 Mot inconnu : install => |Traveller 1591| non | non | install en kde : problème d'affichage | Jaunty |
13 Mot inconnu : kde => |Traveller 1591| non | non | install en kde : problème d'affichage | Jaunty |
13 Il manque un espace insécable. => |Traveller 1591| non | non | install en kde : problème d'affichage | Jaunty |
13 Mot inconnu : Jaunty => |Traveller 1591| non | non | install en kde : problème d'affichage | Jaunty |

14 Mot inconnu : Traveller => |Traveller 820 | non | non | problème d'affichage | Jaunty |
14 Mot inconnu : Jaunty => |Traveller 820 | non | non | problème d'affichage | Jaunty |
