7 Mot inconnu : Unity => Il existe diverses applications qui permettent de modifier l'apparence de votre curseur comme [[:unity-tweak-tool|Unity Tweak Tool]]. Commencez donc par installer une de ces applications. Ensuite vous pourrez trouver quelques thèmes fournis dans les dépôts, il suffit de les installer avec [[:gestionnaire_de_paquets|le gestionnaire de paquet]] (clé de recherche : "cursor").
7 Mot inconnu : Tweak => Il existe diverses applications qui permettent de modifier l'apparence de votre curseur comme [[:unity-tweak-tool|Unity Tweak Tool]]. Commencez donc par installer une de ces applications. Ensuite vous pourrez trouver quelques thèmes fournis dans les dépôts, il suffit de les installer avec [[:gestionnaire_de_paquets|le gestionnaire de paquet]] (clé de recherche : "cursor").
7 Mot inconnu : Tool => Il existe diverses applications qui permettent de modifier l'apparence de votre curseur comme [[:unity-tweak-tool|Unity Tweak Tool]]. Commencez donc par installer une de ces applications. Ensuite vous pourrez trouver quelques thèmes fournis dans les dépôts, il suffit de les installer avec [[:gestionnaire_de_paquets|le gestionnaire de paquet]] (clé de recherche : "cursor").
7 Il manque un espace insécable. => Il existe diverses applications qui permettent de modifier l'apparence de votre curseur comme [[:unity-tweak-tool|Unity Tweak Tool]]. Commencez donc par installer une de ces applications. Ensuite vous pourrez trouver quelques thèmes fournis dans les dépôts, il suffit de les installer avec [[:gestionnaire_de_paquets|le gestionnaire de paquet]] (clé de recherche : "cursor").
7 Guillemets typographiques ouvrants. => Il existe diverses applications qui permettent de modifier l'apparence de votre curseur comme [[:unity-tweak-tool|Unity Tweak Tool]]. Commencez donc par installer une de ces applications. Ensuite vous pourrez trouver quelques thèmes fournis dans les dépôts, il suffit de les installer avec [[:gestionnaire_de_paquets|le gestionnaire de paquet]] (clé de recherche : "cursor").
7 Mot inconnu : cursor => Il existe diverses applications qui permettent de modifier l'apparence de votre curseur comme [[:unity-tweak-tool|Unity Tweak Tool]]. Commencez donc par installer une de ces applications. Ensuite vous pourrez trouver quelques thèmes fournis dans les dépôts, il suffit de les installer avec [[:gestionnaire_de_paquets|le gestionnaire de paquet]] (clé de recherche : "cursor").
7 Guillemets typographiques fermants. => Il existe diverses applications qui permettent de modifier l'apparence de votre curseur comme [[:unity-tweak-tool|Unity Tweak Tool]]. Commencez donc par installer une de ces applications. Ensuite vous pourrez trouver quelques thèmes fournis dans les dépôts, il suffit de les installer avec [[:gestionnaire_de_paquets|le gestionnaire de paquet]] (clé de recherche : "cursor").

8 Il manque un espace insécable. => En voici quelques-uns : **[[apt>oxygen-cursor-theme]]**, **[[apt>dmz-cursor-theme]]**, **[[apt>xcursor-themes]]** et **[[apt>crystalcursors]]**.
8 Mot inconnu : oxygen-cursor-theme => En voici quelques-uns : **[[apt>oxygen-cursor-theme]]**, **[[apt>dmz-cursor-theme]]**, **[[apt>xcursor-themes]]** et **[[apt>crystalcursors]]**.
8 Mot inconnu : dmz-cursor-theme => En voici quelques-uns : **[[apt>oxygen-cursor-theme]]**, **[[apt>dmz-cursor-theme]]**, **[[apt>xcursor-themes]]** et **[[apt>crystalcursors]]**.
8 Mot inconnu : xcursor-themes => En voici quelques-uns : **[[apt>oxygen-cursor-theme]]**, **[[apt>dmz-cursor-theme]]**, **[[apt>xcursor-themes]]** et **[[apt>crystalcursors]]**.
8 Mot inconnu : crystalcursors => En voici quelques-uns : **[[apt>oxygen-cursor-theme]]**, **[[apt>dmz-cursor-theme]]**, **[[apt>xcursor-themes]]** et **[[apt>crystalcursors]]**.

13 Mot inconnu : tar => Vous pouvez télécharger différents thèmes de curseur sur [[http://www.gnome-look.org|Gnome-look.org]]. Faites votre choix et téléchargez le thème au format d'archive //tar.gz//.
13 Mot inconnu : gz => Vous pouvez télécharger différents thèmes de curseur sur [[http://www.gnome-look.org|Gnome-look.org]]. Faites votre choix et téléchargez le thème au format d'archive //tar.gz//.

16 Il manque un espace insécable. => Pour utiliser votre thème vous pouvez:

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le rendre accessible uniquement à votre compte utilisateur en [[:archivage|décompressant]] l'archive dans le dossier caché //.icons// de votre **Dossier Personnel** si besoin créer le dossier //.icons//,
17 Mot inconnu : icons =>   * Le rendre accessible uniquement à votre compte utilisateur en [[:archivage|décompressant]] l'archive dans le dossier caché //.icons// de votre **Dossier Personnel** si besoin créer le dossier //.icons//,
17 Mot inconnu : icons =>   * Le rendre accessible uniquement à votre compte utilisateur en [[:archivage|décompressant]] l'archive dans le dossier caché //.icons// de votre **Dossier Personnel** si besoin créer le dossier //.icons//,

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le rendre accessible à tous les utilisateurs en [[:archivage|décompressant]] l'archive avec les [[:sudo|droits d'administration]] dans le dossier ///usr/share/icons//.

22 Mot inconnu : Unity-tweak-tool => ===Avec Unity-tweak-tool===

23 Mot inconnu : Unity-tweak-tool => Lancez Unity-tweak-tool puis allez dans //Apparences -> Cursors// et choisissez le thème de votre choix.
23 Mot inconnu : Cursors => Lancez Unity-tweak-tool puis allez dans //Apparences -> Cursors// et choisissez le thème de votre choix.

26 Il manque un espace insécable. => Pour que l’écran de connexion de la variante standard d’Ubuntu affiche votre pointeur personnalisé, il faut effectuer la manipulation suivante :

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Éditez le fichier ''/etc/gdm3/greeter.dconf-defaults'' en lançant cette commande avec les droits d’aministrateur : <code>sudo nano /etc/gdm3/greeter.dconf-defaults</code>
27 Guillemets typographiques fermants. =>   * Éditez le fichier ''/etc/gdm3/greeter.dconf-defaults'' en lançant cette commande avec les droits d’aministrateur : <code>sudo nano /etc/gdm3/greeter.dconf-defaults</code>
27 Mot inconnu : aministrateur =>   * Éditez le fichier ''/etc/gdm3/greeter.dconf-defaults'' en lançant cette commande avec les droits d’aministrateur : <code>sudo nano /etc/gdm3/greeter.dconf-defaults</code>
27 Il manque un espace insécable. =>   * Éditez le fichier ''/etc/gdm3/greeter.dconf-defaults'' en lançant cette commande avec les droits d’aministrateur : <code>sudo nano /etc/gdm3/greeter.dconf-defaults</code>

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le fichier ouvert, ajoutez la ligne <code>cursor-theme='nom-de-votre-theme'</code> après ''[org/gnome/desktop/interface]'' ;
28 Mot inconnu : desktop =>   * Dans le fichier ouvert, ajoutez la ligne <code>cursor-theme='nom-de-votre-theme'</code> après ''[org/gnome/desktop/interface]'' ;
28 Il manque un espace insécable. =>   * Dans le fichier ouvert, ajoutez la ligne <code>cursor-theme='nom-de-votre-theme'</code> après ''[org/gnome/desktop/interface]'' ;

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancez la commande <code>sudo dpkg-reconfigure gdm3</code> pour appliquer les modifications. Lors de votre prochaine connexion, le curseur personnalisé sera utilisé.

31 Il manque un espace insécable. => Source : [[https://askubuntu.com/questions/1152547/how-to-change-the-ubuntu-19-04-gdm3-cursor-theme|AskUbuntu]].

35 Mot inconnu : XCursorGen => ====XCursorGen====

36 Mot inconnu : XCursorGen => **XCursorGen** est installé par défaut dans Ubuntu (maintenant inclus dans le paquet x11-apps). Son utilisation nécessite 4 étapes:
36 Mot inconnu : x11-apps => **XCursorGen** est installé par défaut dans Ubuntu (maintenant inclus dans le paquet x11-apps). Son utilisation nécessite 4 étapes:
36 Il manque un espace insécable. => **XCursorGen** est installé par défaut dans Ubuntu (maintenant inclus dans le paquet x11-apps). Son utilisation nécessite 4 étapes:

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créer une image:
37 Il manque un espace insécable. =>   * Créer une image:

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * la taille de l'image .png n'a pas d'importance, même s'il est préférable qu'au moins un côté de l'image corresponde à la taille déclarée. Par contre, la taille déclarée doit être de 24, 32 ou 48.
38 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>     * la taille de l'image .png n'a pas d'importance, même s'il est préférable qu'au moins un côté de l'image corresponde à la taille déclarée. Par contre, la taille déclarée doit être de 24, 32 ou 48.
38 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>     * la taille de l'image .png n'a pas d'importance, même s'il est préférable qu'au moins un côté de l'image corresponde à la taille déclarée. Par contre, la taille déclarée doit être de 24, 32 ou 48.

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Le nom de l'image .png n'a pas d'importance mais il est préférable que le nom du curseur y figure suivi si besoin du format et du numéro d'image (cas des pointeurs animés).
39 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>     * Le nom de l'image .png n'a pas d'importance mais il est préférable que le nom du curseur y figure suivi si besoin du format et du numéro d'image (cas des pointeurs animés).
39 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. =>     * Le nom de l'image .png n'a pas d'importance mais il est préférable que le nom du curseur y figure suivi si besoin du format et du numéro d'image (cas des pointeurs animés).

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créer un fichier **.cursor**. Le nom de ce fichier est obligatoirement celui d'un des curseurs tel que défini dans le tableau. Le plus simple étant de reprendre les noms de curseur d'un thème existant dans /usr/share/icons/nom_du_thème/cursors/
40 Mot inconnu : cursor =>   * Créer un fichier **.cursor**. Le nom de ce fichier est obligatoirement celui d'un des curseurs tel que défini dans le tableau. Le plus simple étant de reprendre les noms de curseur d'un thème existant dans /usr/share/icons/nom_du_thème/cursors/

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Transformer les images en curseur avec **XCursorGen** dans un [[:terminal]].
41 Mot inconnu : XCursorGen =>   * Transformer les images en curseur avec **XCursorGen** dans un [[:terminal]].

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créer un thème et y placer le dossier //cursors//.
42 Mot inconnu : cursors =>   * Créer un thème et y placer le dossier //cursors//.

46 Mot inconnu : The => The Gimp est notre ami. Je vous renvoie à ce [[:gimp|tuto]] pour apprendre à vous en servir.

48 Il manque un espace insécable. => Deux petites astuces :

50 Il manque un espace insécable. => \\ * Pour avoir un pointeur net, dessiner une image de grande taille et lorsqu'elle est terminée, la réduire au bon format, cette action va « affiner » le trait.// </note>
50 Il manque un espace insécable. => \\ * Pour avoir un pointeur net, dessiner une image de grande taille et lorsqu'elle est terminée, la réduire au bon format, cette action va « affiner » le trait.// </note>

54 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Copier-coller une image ou dessiner son pointeur puis enregistrer **au format .png**.

57 Il manque un espace insécable. => == Liste des noms de pointeurs : ==

60 Mot inconnu : all-scroll => | all-scroll | ↑ arrow | ↥ based_arrow_up | bd_double_arrow |  bottom_left_corner |
60 Mot inconnu : arrow => | all-scroll | ↑ arrow | ↥ based_arrow_up | bd_double_arrow |  bottom_left_corner |
60 Mot inconnu : based_arrow_up => | all-scroll | ↑ arrow | ↥ based_arrow_up | bd_double_arrow |  bottom_left_corner |
60 Mot inconnu : bd_double_arrow => | all-scroll | ↑ arrow | ↥ based_arrow_up | bd_double_arrow |  bottom_left_corner |
60 Mot inconnu : bottom_left_corner => | all-scroll | ↑ arrow | ↥ based_arrow_up | bd_double_arrow |  bottom_left_corner |

61 Mot inconnu : bottom_right_corner => | ⇲ bottom_right_corner | ⥕ bottom_side | ↑ center-ptr | ⌀ circle | ↖+ **copy**  |
61 Mot inconnu : bottom_side => | ⇲ bottom_right_corner | ⥕ bottom_side | ↑ center-ptr | ⌀ circle | ↖+ **copy**  |
61 Mot inconnu : center-ptr => | ⇲ bottom_right_corner | ⥕ bottom_side | ↑ center-ptr | ⌀ circle | ↖+ **copy**  |
61 Mot inconnu : circle => | ⇲ bottom_right_corner | ⥕ bottom_side | ↑ center-ptr | ⌀ circle | ↖+ **copy**  |
61 Mot inconnu : copy => | ⇲ bottom_right_corner | ⥕ bottom_side | ↑ center-ptr | ⌀ circle | ↖+ **copy**  |

62 Mot inconnu : closedhand => | ✊ closedhand | ✛ cross|⍉**crossed_circle** | ✛ crosshair | ⇑ double_arrow |
62 Mot inconnu : crossed_circle => | ✊ closedhand | ✛ cross|⍉**crossed_circle** | ✛ crosshair | ⇑ double_arrow |
62 Mot inconnu : crosshair => | ✊ closedhand | ✛ cross|⍉**crossed_circle** | ✛ crosshair | ⇑ double_arrow |
62 Mot inconnu : double_arrow => | ✊ closedhand | ✛ cross|⍉**crossed_circle** | ✛ crosshair | ⇑ double_arrow |

63 Mot inconnu : draft_large => | draft_large | draft_small | ↔ e-resize | fd_double_arrow | fleur |
63 Mot inconnu : draft_small => | draft_large | draft_small | ↔ e-resize | fd_double_arrow | fleur |
63 Mot inconnu : e-resize => | draft_large | draft_small | ↔ e-resize | fd_double_arrow | fleur |
63 Mot inconnu : fd_double_arrow => | draft_large | draft_small | ↔ e-resize | fd_double_arrow | fleur |

64 Mot inconnu : half-busy => | ↖⧑ half-busy | ↖⌀ forbidden | ⇔ **h_double_arrow**|☝ **hand** | ☜ **hand1** |
64 Mot inconnu : forbidden => | ↖⧑ half-busy | ↖⌀ forbidden | ⇔ **h_double_arrow**|☝ **hand** | ☜ **hand1** |
64 Mot inconnu : h_double_arrow => | ↖⧑ half-busy | ↖⌀ forbidden | ⇔ **h_double_arrow**|☝ **hand** | ☜ **hand1** |
64 Mot inconnu : hand => | ↖⧑ half-busy | ↖⌀ forbidden | ⇔ **h_double_arrow**|☝ **hand** | ☜ **hand1** |
64 Mot inconnu : hand1 => | ↖⧑ half-busy | ↖⌀ forbidden | ⇔ **h_double_arrow**|☝ **hand** | ☜ **hand1** |

65 Mot inconnu : left_ptr_watch => | ↖⧑ ** left_ptr_watch** | ⇤ left_side | **link** | ✊ move |✎ pencil |
65 Mot inconnu : left_side => | ↖⧑ ** left_ptr_watch** | ⇤ left_side | **link** | ✊ move |✎ pencil |
65 Mot inconnu : link => | ↖⧑ ** left_ptr_watch** | ⇤ left_side | **link** | ✊ move |✎ pencil |
65 Mot inconnu : move => | ↖⧑ ** left_ptr_watch** | ⇤ left_side | **link** | ✊ move |✎ pencil |
65 Mot inconnu : pencil => | ↖⧑ ** left_ptr_watch** | ⇤ left_side | **link** | ✊ move |✎ pencil |

66 Mot inconnu : pointing_hand => |☠ pirate | ☜ pointer |☜ pointing_hand | ☞ hand2  | ⌶ ibeam |
66 Mot inconnu : hand2 => |☠ pirate | ☜ pointer |☜ pointing_hand | ☞ hand2  | ⌶ ibeam |
66 Espace(s) surnuméraire(s) à supprimer. => |☠ pirate | ☜ pointer |☜ pointing_hand | ☞ hand2  | ⌶ ibeam |
66 Mot inconnu : ibeam => |☠ pirate | ☜ pointer |☜ pointing_hand | ☞ hand2  | ⌶ ibeam |

67 Mot inconnu : left_ptr => |↖ **left_ptr**|? **question_arrow** | ↗ ** right_ptr** | ⇥ right_side| ↓ sb_down_arrow |
67 Mot inconnu : question_arrow => |↖ **left_ptr**|? **question_arrow** | ↗ ** right_ptr** | ⇥ right_side| ↓ sb_down_arrow |
67 Mot inconnu : right_ptr => |↖ **left_ptr**|? **question_arrow** | ↗ ** right_ptr** | ⇥ right_side| ↓ sb_down_arrow |
67 Mot inconnu : right_side => |↖ **left_ptr**|? **question_arrow** | ↗ ** right_ptr** | ⇥ right_side| ↓ sb_down_arrow |
67 Mot inconnu : sb_down_arrow => |↖ **left_ptr**|? **question_arrow** | ↗ ** right_ptr** | ⇥ right_side| ↓ sb_down_arrow |

68 Mot inconnu : sb_h_double_arrow => | ⇔ **sb_h_double_arrow** |→ sb_left_arrow | ← sb_right_arrow | ↓ sb_up_arrow | ⇕ **sb_v_double_arrow** |
68 Mot inconnu : sb_left_arrow => | ⇔ **sb_h_double_arrow** |→ sb_left_arrow | ← sb_right_arrow | ↓ sb_up_arrow | ⇕ **sb_v_double_arrow** |
68 Mot inconnu : sb_right_arrow => | ⇔ **sb_h_double_arrow** |→ sb_left_arrow | ← sb_right_arrow | ↓ sb_up_arrow | ⇕ **sb_v_double_arrow** |
68 Mot inconnu : sb_up_arrow => | ⇔ **sb_h_double_arrow** |→ sb_left_arrow | ← sb_right_arrow | ↓ sb_up_arrow | ⇕ **sb_v_double_arrow** |
68 Mot inconnu : sb_v_double_arrow => | ⇔ **sb_h_double_arrow** |→ sb_left_arrow | ← sb_right_arrow | ↓ sb_up_arrow | ⇕ **sb_v_double_arrow** |

69 Mot inconnu : split-h => | ⇹ split-h | split-v | size_all | size_bdiag | size_fdiag |
69 Mot inconnu : split-v => | ⇹ split-h | split-v | size_all | size_bdiag | size_fdiag |
69 Mot inconnu : size_all => | ⇹ split-h | split-v | size_all | size_bdiag | size_fdiag |
69 Mot inconnu : size_bdiag => | ⇹ split-h | split-v | size_all | size_bdiag | size_fdiag |
69 Mot inconnu : size_fdiag => | ⇹ split-h | split-v | size_all | size_bdiag | size_fdiag |

70 Mot inconnu : s-resize => | ↕ s-resize | ⌶ text |↗ top_left_arrow | ⇱ **top_left_corner** | **top_right_corner**|
70 Mot inconnu : text => | ↕ s-resize | ⌶ text |↗ top_left_arrow | ⇱ **top_left_corner** | **top_right_corner**|
70 Mot inconnu : top_left_arrow => | ↕ s-resize | ⌶ text |↗ top_left_arrow | ⇱ **top_left_corner** | **top_right_corner**|
70 Mot inconnu : top_left_corner => | ↕ s-resize | ⌶ text |↗ top_left_arrow | ⇱ **top_left_corner** | **top_right_corner**|
70 Mot inconnu : top_right_corner => | ↕ s-resize | ⌶ text |↗ top_left_arrow | ⇱ **top_left_corner** | **top_right_corner**|

71 Mot inconnu : top_side => | ⥔ top_side | ↕ **v_double_arrow** | ⧑ watch |↔ w-resize | ⨯ X_cursor |
71 Mot inconnu : v_double_arrow => | ⥔ top_side | ↕ **v_double_arrow** | ⧑ watch |↔ w-resize | ⨯ X_cursor |
71 Mot inconnu : watch => | ⥔ top_side | ↕ **v_double_arrow** | ⧑ watch |↔ w-resize | ⨯ X_cursor |
71 Mot inconnu : w-resize => | ⥔ top_side | ↕ **v_double_arrow** | ⧑ watch |↔ w-resize | ⨯ X_cursor |
71 Mot inconnu : X_cursor => | ⥔ top_side | ↕ **v_double_arrow** | ⧑ watch |↔ w-resize | ⨯ X_cursor |

72 Mot inconnu : xterm => | ⌶ xterm  |
72 Espace(s) surnuméraire(s) à supprimer. => | ⌶ xterm  |

75 Guillemets fermants. => ===Créer un fichier ".cursor"===
75 Mot inconnu : cursor => ===Créer un fichier ".cursor"===
75 Guillemets typographiques fermants. => ===Créer un fichier ".cursor"===

76 Il manque un espace. => Repérez dans votre logiciel de retouche d'image (par exemple, Gimp), les coordonnées X et Y de l'endroit du curseur qui sert à pointer. (On le lit en bas à gauche en plaçant le curseur au bon endroit). {{:tutoriel:selectionxy.png?nolink&200|}}
76 Mot inconnu : selectionxy => Repérez dans votre logiciel de retouche d'image (par exemple, Gimp), les coordonnées X et Y de l'endroit du curseur qui sert à pointer. (On le lit en bas à gauche en plaçant le curseur au bon endroit). {{:tutoriel:selectionxy.png?nolink&200|}}
76 Il manque un espace insécable. => Repérez dans votre logiciel de retouche d'image (par exemple, Gimp), les coordonnées X et Y de l'endroit du curseur qui sert à pointer. (On le lit en bas à gauche en plaçant le curseur au bon endroit). {{:tutoriel:selectionxy.png?nolink&200|}}
76 Il manque un espace. => Repérez dans votre logiciel de retouche d'image (par exemple, Gimp), les coordonnées X et Y de l'endroit du curseur qui sert à pointer. (On le lit en bas à gauche en plaçant le curseur au bon endroit). {{:tutoriel:selectionxy.png?nolink&200|}}
76 Mot inconnu : nolink => Repérez dans votre logiciel de retouche d'image (par exemple, Gimp), les coordonnées X et Y de l'endroit du curseur qui sert à pointer. (On le lit en bas à gauche en plaçant le curseur au bon endroit). {{:tutoriel:selectionxy.png?nolink&200|}}

78 Espace(s) en fin de ligne à supprimer. => Pour un pointage en haut à gauche, X=0 et Y=0. 

80 Signe de multiplication typographique. => Pour un pointage en haut à droite sur une image de 24x24, X=0 et Y=23.
80 Mot inconnu : x24 => Pour un pointage en haut à droite sur une image de 24x24, X=0 et Y=23.

82 Il manque un espace insécable. => Dans le gestionnaire de fichier, entrer des lignes ainsi formées pour le même curseur:

83 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => <code>taille X Y nom_du_fichier.png durée_en_ms</code> puis enregistrer sous le **nom_du_curseur.cursor**. La durée ne vaut que pour les curseurs animés. Par défaut elle est de 50ms.
83 Mot inconnu : nom_du_curseur => <code>taille X Y nom_du_fichier.png durée_en_ms</code> puis enregistrer sous le **nom_du_curseur.cursor**. La durée ne vaut que pour les curseurs animés. Par défaut elle est de 50ms.
83 Mot inconnu : cursor => <code>taille X Y nom_du_fichier.png durée_en_ms</code> puis enregistrer sous le **nom_du_curseur.cursor**. La durée ne vaut que pour les curseurs animés. Par défaut elle est de 50ms.
83 Avec une unité de mesure, mettez un espace insécable. => <code>taille X Y nom_du_fichier.png durée_en_ms</code> puis enregistrer sous le **nom_du_curseur.cursor**. La durée ne vaut que pour les curseurs animés. Par défaut elle est de 50ms.

85 Il manque un espace insécable. => Exemple avec 1 format de curseur:

87 Il manque un espace insécable. => Enregistrer sous le nom : right_ptr.cursor
87 Mot inconnu : right_ptr => Enregistrer sous le nom : right_ptr.cursor
87 Mot inconnu : cursor => Enregistrer sous le nom : right_ptr.cursor

89 Il manque un espace insécable. => Exemple avec 3 formats de curseur:

95 Il manque un espace insécable. => Enregistrer sous le nom : right_ptr.cursor
95 Mot inconnu : right_ptr => Enregistrer sous le nom : right_ptr.cursor
95 Mot inconnu : cursor => Enregistrer sous le nom : right_ptr.cursor

97 Avec une unité de mesure, mettez un espace insécable. => Exemple pour un curseur animé avec 3 images et 2 formats, dont 2 durent 100ms et l'autre 50ms:
