4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Pseudo__ : Renesis-3
4 Mot inconnu : __Pseudo__ =>   * __Pseudo__ : Renesis-3
4 Il manque un espace insécable. =>   * __Pseudo__ : Renesis-3
4 Mot inconnu : Renesis-3 =>   * __Pseudo__ : Renesis-3

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Profession__ : Lycéen
5 Mot inconnu : __Profession__ =>   * __Profession__ : Lycéen
5 Il manque un espace insécable. =>   * __Profession__ : Lycéen

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Localisation__ : France
6 Mot inconnu : __Localisation__ =>   * __Localisation__ : France
6 Il manque un espace insécable. =>   * __Localisation__ : France

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le portable est d'origine //(aucune pièce changée)//

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __OS installé de base__ : Windows Vista Edition Familiale Premium //(supprimé, pas de Dual Boot)//
15 Mot inconnu : __OS =>   * __OS installé de base__ : Windows Vista Edition Familiale Premium //(supprimé, pas de Dual Boot)//
15 Mot inconnu : base__ =>   * __OS installé de base__ : Windows Vista Edition Familiale Premium //(supprimé, pas de Dual Boot)//
15 Il manque un espace insécable. =>   * __OS installé de base__ : Windows Vista Edition Familiale Premium //(supprimé, pas de Dual Boot)//
15 Mot inconnu : Vista =>   * __OS installé de base__ : Windows Vista Edition Familiale Premium //(supprimé, pas de Dual Boot)//
15 Mot inconnu : Edition =>   * __OS installé de base__ : Windows Vista Edition Familiale Premium //(supprimé, pas de Dual Boot)//
15 Mot inconnu : Boot =>   * __OS installé de base__ : Windows Vista Edition Familiale Premium //(supprimé, pas de Dual Boot)//

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __OS ajouté__ : [[:intrepid|Ubuntu 8.10 - "Intrepid Ibex"]] //(Wifi OK après modifications indiqués dans le lien ci-dessous)//
16 Mot inconnu : __OS =>   * __OS ajouté__ : [[:intrepid|Ubuntu 8.10 - "Intrepid Ibex"]] //(Wifi OK après modifications indiqués dans le lien ci-dessous)//
16 Mot inconnu : ajouté__ =>   * __OS ajouté__ : [[:intrepid|Ubuntu 8.10 - "Intrepid Ibex"]] //(Wifi OK après modifications indiqués dans le lien ci-dessous)//
16 Il manque un espace insécable. =>   * __OS ajouté__ : [[:intrepid|Ubuntu 8.10 - "Intrepid Ibex"]] //(Wifi OK après modifications indiqués dans le lien ci-dessous)//
16 Mot inconnu : intrepid =>   * __OS ajouté__ : [[:intrepid|Ubuntu 8.10 - "Intrepid Ibex"]] //(Wifi OK après modifications indiqués dans le lien ci-dessous)//
16 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * __OS ajouté__ : [[:intrepid|Ubuntu 8.10 - "Intrepid Ibex"]] //(Wifi OK après modifications indiqués dans le lien ci-dessous)//
16 Guillemets typographiques ouvrants. =>   * __OS ajouté__ : [[:intrepid|Ubuntu 8.10 - "Intrepid Ibex"]] //(Wifi OK après modifications indiqués dans le lien ci-dessous)//
16 Mot inconnu : Intrepid =>   * __OS ajouté__ : [[:intrepid|Ubuntu 8.10 - "Intrepid Ibex"]] //(Wifi OK après modifications indiqués dans le lien ci-dessous)//
16 Mot inconnu : Ibex =>   * __OS ajouté__ : [[:intrepid|Ubuntu 8.10 - "Intrepid Ibex"]] //(Wifi OK après modifications indiqués dans le lien ci-dessous)//
16 Guillemets typographiques fermants. =>   * __OS ajouté__ : [[:intrepid|Ubuntu 8.10 - "Intrepid Ibex"]] //(Wifi OK après modifications indiqués dans le lien ci-dessous)//

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Paramétrage : Ubuntu sur un Acer Aspire 5315.
18 Il manque un espace insécable. =>   * Paramétrage : Ubuntu sur un Acer Aspire 5315.
