2 Mot inconnu : Seiko => ====== Seiko Matsumoto - Page Perso======
2 Mot inconnu : Matsumoto => ====== Seiko Matsumoto - Page Perso======
2 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Seiko Matsumoto - Page Perso======

3 Mot inconnu : Seiko => Je suis **Seiko Matsumoto**, encore connu sous les pseudo de **Clovis Nox** et **Exdeus**
3 Mot inconnu : Matsumoto => Je suis **Seiko Matsumoto**, encore connu sous les pseudo de **Clovis Nox** et **Exdeus**
3 Accord de nombre erroné : « pseudo » devrait être au pluriel. => Je suis **Seiko Matsumoto**, encore connu sous les pseudo de **Clovis Nox** et **Exdeus**
3 Mot inconnu : Nox => Je suis **Seiko Matsumoto**, encore connu sous les pseudo de **Clovis Nox** et **Exdeus**
3 Mot inconnu : Exdeus => Je suis **Seiko Matsumoto**, encore connu sous les pseudo de **Clovis Nox** et **Exdeus**

11 Conjugaison erronée. Accord avec “Je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => <note important>Je ne répond pas au questions technique par MP, le forum est la pour ca 8-)
11 Accord de nombre erroné : « questions » est au pluriel. => <note important>Je ne répond pas au questions technique par MP, le forum est la pour ca 8-)
11 Accord de nombre erroné : « questions » devrait être au singulier. => <note important>Je ne répond pas au questions technique par MP, le forum est la pour ca 8-)
11 Mot inconnu : MP => <note important>Je ne répond pas au questions technique par MP, le forum est la pour ca 8-)
11 Confusion probable. Écrivez “là” si vous voulez dire “ici”. => <note important>Je ne répond pas au questions technique par MP, le forum est la pour ca 8-)
11 Mot inconnu : ca => <note important>Je ne répond pas au questions technique par MP, le forum est la pour ca 8-)

17 Mot inconnu : Fricker => |Nom|Fricker|

20 Mot inconnu : Ubunteros => |Ubunteros depuis combien de temps|5 ans|
20 Avec une unité de mesure, mettez un espace insécable. => |Ubunteros depuis combien de temps|5 ans|

21 Mot inconnu : OpenSuse => |Distribution testée|Ubuntu, Debian, OpenSuse, Gentoo ...|
21 Mot inconnu : Gentoo => |Distribution testée|Ubuntu, Debian, OpenSuse, Gentoo ...|
21 Typographie : points de suspension. Utilisez le caractère dédié. => |Distribution testée|Ubuntu, Debian, OpenSuse, Gentoo ...|

25 Il manque un espace. => |Mail|spider.computer(at)yahoo.fr|
25 Mot inconnu : at => |Mail|spider.computer(at)yahoo.fr|
25 Il manque un espace après la parenthèse. => |Mail|spider.computer(at)yahoo.fr|
25 Mot inconnu : yahoo => |Mail|spider.computer(at)yahoo.fr|

26 Mot inconnu : exdeus => |Messagerie instantanée|exdeus(at)hotmail.fr|
26 Mot inconnu : at => |Messagerie instantanée|exdeus(at)hotmail.fr|
26 Il manque un espace après la parenthèse. => |Messagerie instantanée|exdeus(at)hotmail.fr|
26 Mot inconnu : hotmail => |Messagerie instantanée|exdeus(at)hotmail.fr|
